experiment_family,tissue_fold_seed_method,anonymous_run_id,gpu_type,number_gpus,elapsed_wall_time,gpu_hours
within-slide KLT development,"KLT FullFT, seed 42",R001,A100-SXM4-40GB,1,14:17:20,14.288889
within-slide KLT development,"KLT decoder conv only, seed 42",R002,A100-SXM4-40GB,1,10:54:50,10.913889
within-slide KLT development,"KLT LoRA only, seed 42",R003,A100-SXM4-40GB,1,12:07:33,12.125833
within-slide KLT development,"KLT AdaptFormer only, seed 42",R004,A100-SXM4-40GB,1,11:18:22,11.306111
within-slide KLT development,"KLT VeRA only, seed 42",R005,A100-SXM4-40GB,1,11:42:20,11.705556
within-slide KLT development,"KLT LoRA + AdaptFormer conv, seed 42",R006,A100-SXM4-40GB,1,13:14:07,13.235278
within-slide KLT development,"KLT VeRA + AdaptFormer conv, seed 42",R007,A100-SXM4-40GB,1,13:37:25,13.623611
within-slide KLT development,"KLT selected LoRA + AdaptFormer heads, seed 42",R008,A100-SXM4-40GB,1,12:03:05,12.051389
within-slide KLT development,"KLT LoRA + AdaptFormer last stage, seed 42",R009,A100-SXM4-40GB,1,12:16:38,12.277222
within-slide KLT development,"KLT FullFT, seed 43",R010,A100-SXM4-40GB,1,13:45:56,13.765556
within-slide KLT development,"KLT LoRA + AdaptFormer conv, seed 43",R011,A100-SXM4-40GB,1,13:25:36,13.426667
within-slide KLT development,"KLT selected LoRA + AdaptFormer heads, seed 43",R012,A100-SXM4-40GB,1,12:21:10,12.352778
within-slide KLT development,"KLT LoRA + AdaptFormer last stage, seed 43",R013,A100-SXM4-40GB,1,12:24:43,12.411944
within-slide KLT development,"KLT VeRA + AdaptFormer conv, seed 43",R014,A100-SXM4-40GB,1,13:30:54,13.515000
within-slide KLT development,"KLT VeRA + AdaptFormer heads, seed 43",R015,A100-SXM4-40GB,1,12:45:31,12.758611
within-slide KLT development,"KLT final-head LP, seed 42",R016,V100 path (32 GB),1,17:16:19,17.271944
within-slide KLT development,"KLT AdaptFormer + heads, seed 42",R017,A100-SXM4-40GB,1,10:39:13,10.653611
within-slide KLT development,"KLT AdaptFormer + heads, seed 43",R018,V100 path (32 GB),1,20:19:16,20.321111
complete-slide KLT,"KLT SAM-H PEFT, fold A, seed 42",R019,A100-SXM4-40GB,1,08:37:46,8.629444
complete-slide KLT,"KLT SAM-H FullFT, fold A, seed 42",R020,A100-SXM4-40GB,1,09:35:28,9.591111
complete-slide KLT,"KLT SAM-H LP, fold A, seed 42",R021,A100-SXM4-40GB,1,06:22:15,6.370833
complete-slide KLT,"KLT SAM-H LP, fold B, seed 42",R022,A100-SXM4-40GB,1,05:55:29,5.924722
complete-slide KLT,"KLT SAM-H FullFT, fold B, seed 42",R023,A100-SXM4-40GB,1,08:04:04,8.067778
complete-slide KLT,"KLT SAM-H PEFT, fold B, seed 42",R024,A100-SXM4-40GB,1,07:56:26,7.940556
complete-slide KLT,"KLT SAM-H LP, fold A, seed 43",R025,A100-SXM4-40GB,1,06:28:37,6.476944
complete-slide KLT,"KLT SAM-H LP, fold B, seed 43",R026,A100-SXM4-40GB,1,05:57:02,5.950556
complete-slide KLT,"KLT SAM-H PEFT, fold A, seed 43",R027,A100-SXM4-40GB,1,07:26:59,7.449722
complete-slide KLT,"KLT SAM-H PEFT, fold B, seed 43",R028,A100-SXM4-40GB,1,06:43:31,6.725278
complete-slide KLT,"KLT SAM-H FullFT, fold A, seed 43",R029,A100-SXM4-40GB,1,09:34:24,9.573333
complete-slide KLT,"KLT SAM-H FullFT, fold B, seed 43",R030,A100-SXM4-40GB,1,08:29:36,8.493333
complete-slide KLT,"KLT SAM-H PEFT, fold A, seed 44",R031,A100-SXM4-40GB,1,07:58:27,7.974167
complete-slide KLT,"KLT SAM-H PEFT, fold B, seed 44",R032,A100-SXM4-40GB,1,07:13:46,7.229444
complete-slide KLT,"KLT SAM-H FullFT, fold A, seed 44",R033,A100-SXM4-40GB,1,09:14:47,9.246389
complete-slide KLT,"KLT SAM-H FullFT, fold B, seed 44",R034,A100-SXM4-40GB,1,08:09:16,8.154444
complete-slide KLT,"KLT SAM-H LP, fold A, seed 44",R035,A100-SXM4-40GB,1,06:18:59,6.316389
complete-slide KLT,"KLT SAM-H LP, fold B, seed 44",R036,A100-SXM4-40GB,1,06:17:43,6.295278
complete-slide KLT,"KLT CellViT-256 FullFT, fold A, seed 42",R037,A100-SXM4-40GB,1,06:46:55,6.781944
complete-slide KLT,"KLT CellViT-256 FullFT, fold B, seed 42",R038,A100-SXM4-40GB,1,06:06:40,6.111111
complete-slide KLT,"KLT CellViT-256 LP, fold A, seed 42",R039,A100-SXM4-40GB,1,05:18:42,5.311667
complete-slide KLT,"KLT CellViT-256 LP, fold B, seed 42",R040,A100-SXM4-40GB,1,04:50:32,4.842222
complete-slide KLT,"KLT CellViT-256 PEFT, fold A, seed 42",R041,A100-SXM4-40GB,1,07:37:52,7.631111
complete-slide KLT,"KLT CellViT-256 PEFT, fold B, seed 42",R042,A100-SXM4-40GB,1,06:01:49,6.030278
complete-slide KLT,"KLT CellViT-256 PEFT, fold A, seed 43",R043,A100-SXM4-40GB,1,06:25:57,6.432500
complete-slide KLT,"KLT CellViT-256 PEFT, fold B, seed 43",R044,A100-SXM4-40GB,1,05:51:28,5.857778
complete-slide KLT,"KLT CellViT-256 FullFT, fold A, seed 43",R045,A100-SXM4-40GB,1,06:51:23,6.856389
complete-slide KLT,"KLT CellViT-256 FullFT, fold B, seed 43",R046,A100-SXM4-40GB,1,06:09:21,6.155833
complete-slide KLT,"KLT CellViT-256 PEFT, fold A, seed 44",R047,A100-SXM4-40GB,1,06:49:09,6.819167
complete-slide KLT,"KLT CellViT-256 PEFT, fold B, seed 44",R048,A100-SXM4-40GB,1,07:12:06,7.201667
