original_path,filename,file_size_bytes,sha256,tensor_content_sha256,top_level_checkpoint_keys,state_dict_key_count,tensor_parameter_count,mutable_buffer_key_count,mutable_buffer_tensor_element_count,checkpoint_tensor_element_count,dtype_distribution,lora,adaptformer,np_head,hv_head,nt_head,decoder_modules,likely_tissue,seed,configuration_method,matching_yaml_config,appears_complete,exact_duplicate_of,reported_in_paper,recommended_action,audit_note
adapters/sthelar40x_bps_9class_slide_frozen_encoder_decoder_conv_adapters_red16_lr5e-5_e10_seed42_CLEAN_adapter.pth,sthelar40x_bps_9class_slide_frozen_encoder_decoder_conv_adapters_red16_lr5e-5_e10_seed42_CLEAN_adapter.pth,2444174,f05f9a140623dd0899ce12075d3da350cded6e48bfd11f662782884ff138ecc0,fbe8a0e7f7c0a5fa82294bb2191fad34275c11a9a21508d07b07772c18e21726,format;format_version;metadata;adapter_state_dict;mutable_buffer_state_dict,183,553262,105,19171,572433,"{""float32"":253,""int64"":35}",false,false,true,true,true,true,MultiTissue,42,vera:conv_adapters,,true,,false,archive locally,
adapters/sthelar40x_bps_9class_slide_lora_adaptformer_r8_a8_red16_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN_adapter.pth,sthelar40x_bps_9class_slide_lora_adaptformer_r8_a8_red16_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN_adapter.pth,34223246,f379d69ce3f1e3928a5eef8ac52876b1ff068dffb583c20b1dc113ecad3c3357,5394283ad1f7fe78a32849084105fe75a4046d45c04cae1d77cca9e8a57da6b1,format;format_version;metadata;adapter_state_dict;mutable_buffer_state_dict,471,8461134,105,19171,8480305,"{""float32"":541,""int64"":35}",true,true,true,true,true,true,MultiTissue,42,lora_adaptformer:conv_adapters,,true,,false,archive locally,
adapters/sthelar40x_bps_9class_slide_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN_adapter.pth,sthelar40x_bps_9class_slide_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN_adapter.pth,31921732,66cc319bb1ea7dcb5575da364d9184d730eac35ec5d4a6a94b662d684f4ab60b,7fb90a83358df1f2cbfb3375b2894e403748e9376bca8a371ac2965a09920916,format;format_version;metadata;adapter_state_dict;mutable_buffer_state_dict,296,7909039,105,19171,7928210,"{""float32"":366,""int64"":35}",true,true,true,true,true,true,MultiTissue,42,lora_adaptformer:heads_only,,true,,false,archive locally,
adapters/sthelar40x_bps_9class_slide_lora_adaptformer_r8_a8_red16_decoder_last_stage_lr5e-5_e10_seed42_CLEAN_adapter.pth,sthelar40x_bps_9class_slide_lora_adaptformer_r8_a8_red16_decoder_last_stage_lr5e-5_e10_seed42_CLEAN_adapter.pth,33347780,fcd49f6d12c9d391369edf298cfc0ce9d6b2dbfee4fbda4bfb40591ea628e2f8,bcca487f60437abc3e4fd548872ef4f79e5aca83be2fb5d96a105f9c6bb53023,format;format_version;metadata;adapter_state_dict;mutable_buffer_state_dict,328,8261551,105,19171,8280722,"{""float32"":398,""int64"":35}",true,true,true,true,true,true,MultiTissue,42,lora_adaptformer:last_stage,,true,,false,archive locally,
adapters/sthelar40x_bps_9class_slide_lora_r8_a8_decoder_conv_adapters_red16_lr5e-5_e10_seed42_CLEAN_adapter.pth,sthelar40x_bps_9class_slide_lora_r8_a8_decoder_conv_adapters_red16_lr5e-5_e10_seed42_CLEAN_adapter.pth,7748990,f2deafe5238c3e27ad757c6513ab3922716cf9bff56d0ab181511fac17eca92e,9111bc091870b97201c864965b565cc43576d223eaf5d02a8dd9da13cdd5d897,format;format_version;metadata;adapter_state_dict;mutable_buffer_state_dict,311,1863982,105,19171,1883153,"{""float32"":381,""int64"":35}",true,false,true,true,true,true,MultiTissue,42,lora:conv_adapters,,true,,false,archive locally,
adapters/sthelar40x_bps_9class_slide_vera_adaptformer_r16_a16_red16_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN_adapter.pth,sthelar40x_bps_9class_slide_vera_adaptformer_r16_a16_red16_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN_adapter.pth,29328502,9c92772cb04274ac782b69f27d597ed133313d148a645bf612cc6043b130388c,ae4b17b24b2ca02d6577b0ff9178241782d92d18380b30ab8ad697c679c68f44,format;format_version;metadata;adapter_state_dict;mutable_buffer_state_dict,503,7233390,105,19171,7252561,"{""float32"":573,""int64"":35}",true,true,true,true,true,true,MultiTissue,42,vera_adaptformer:conv_adapters,,true,,false,archive locally,
adapters/sthelar40x_bps_9class_slide_vera_adaptformer_r8_a8_red16_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN_adapter.pth,sthelar40x_bps_9class_slide_vera_adaptformer_r8_a8_red16_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN_adapter.pth,29327214,b89a485be0abc2fd7076bc663804418a19e5e0ecd70db5206ff351c841789d33,a7a285656223290fbe02755519ec8b766acbf50fd26db6abdfa807c7348b1f5b,format;format_version;metadata;adapter_state_dict;mutable_buffer_state_dict,503,7232878,105,19171,7252049,"{""float32"":573,""int64"":35}",true,true,true,true,true,true,MultiTissue,42,vera_adaptformer:conv_adapters,,true,,false,archive locally,
adapters/sthelar40x_bps_9class_slide_vera_adaptformer_r8_a8_red16_decoder_conv_adapters_lr5e-5_e10_seed43_CLEAN_adapter.pth,sthelar40x_bps_9class_slide_vera_adaptformer_r8_a8_red16_decoder_conv_adapters_lr5e-5_e10_seed43_CLEAN_adapter.pth,29327214,a5dce520423d59e8cf2ce501afdf39fcaeccaf24564d4b9f927623218edec081,3ef255cef824ff93204cbe254ef0e602af06fa86a5afa8df2f81ab06a5fbba2e,format;format_version;metadata;adapter_state_dict;mutable_buffer_state_dict,503,7232878,105,19171,7252049,"{""float32"":573,""int64"":35}",true,true,true,true,true,true,MultiTissue,43,vera_adaptformer:conv_adapters,,true,,false,archive locally,
adapters/sthelar40x_breast_5class_spatial_margin128_cap50000_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN_adapter.pth,sthelar40x_breast_5class_spatial_margin128_cap50000_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN_adapter.pth,31933820,5c23266a36dfbeb920d817164f3814f3fe08ea9ebebd2673d651d4ec9ed02b31,3d1a71df5d7e90792ee1ed3f66d42ee2258a5f355c0cf511b35859c2aca71ecf,format;format_version;metadata;adapter_state_dict;mutable_buffer_state_dict,296,7908779,105,19171,7927950,"{""float32"":366,""int64"":35}",true,true,true,true,true,true,Breast,42,lora_adaptformer:heads_only,configs/release/compayl2026/tissue_specific/training_sthelar40x_breast_5class_spatial_margin128_cap50000_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN.yaml,true,,true,release,
adapters/sthelar40x_colon_5class_spatial_margin128_cap50000_lora_adaptformer_heads_only_seed43/sthelar40x_colon_5class_spatial_margin128_cap50000_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed43_CLEAN_adapter.pth,sthelar40x_colon_5class_spatial_margin128_cap50000_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed43_CLEAN_adapter.pth,31932839,210947a4f1885608b9a1f36d400c61401208e4a60129e4bc83d94f263bab2fa7,ef45b6881e86b4f1e0c3cc540f697e7f9ae70a37d7318e9806c061df77670df6,format;format_version;metadata;adapter_state_dict;mutable_buffer_state_dict,296,7908779,105,19171,7927950,"{""float32"":366,""int64"":35}",true,true,true,true,true,true,Colon,43,lora_adaptformer:heads_only,,true,,false,archive locally,
