adapter_id,release_path,tissue,seed,method,source_path,source_size_bytes,source_sha256,source_config_path,source_config_sha256,adapter_config_sha256,safetensors_size_bytes,safetensors_sha256,adapter_state_key_count,mutable_buffer_key_count,safetensors_tensor_count,trainable_parameter_count,dtype_distribution,components,label_mapping,round_trip_tensor_equality,metadata_sanitization,base_checkpoint,base_checkpoint_sha256,state_dict_loading,missing_adapter_keys,unexpected_adapter_keys,forward_smoke_256x256,output_tensor_shapes,verification_status,verification_date
klt/seed42,release/huggingface/adapters/klt/seed42,KidneyLiverTonsil,42,lora_adaptformer_r8_a8_red16_heads_only,adapters/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN_adapter.pth,31956368,7b5410fdceb94d541862bb2ebf000a5629c1f5b1efd2f90c953dfb59be39f237,configs/release/compayl2026/klt/training_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN.yaml,8f4c6ccb9d0ab636c7571a5d77e156160ca5201d09ae0dc45cd2b4cef21198d9,85d5a9fa38b7b94e390c88ffcdfda7786b27f51bbcaca92e8c8a779c266a8b4b,31812100,46ebbc6c07303feaf33dd58af7a8eebb0f50aed335078ddf84f6bcfa79231d7d,296,105,401,7908779,"{""float32"":366,""int64"":35}",LoRA;AdaptFormer;NP head;HV head;NT head,0:Background;1:Immune;2:Stromal;3:Epithelial;4:Melanocyte;5:Other,pass,pass,CellViT-SAM-H-x40.pth,b324c10fddb0f80f5ab03a0459453a4c4848866934daf63435b46749a6b278cf,pass,0,0,pass,"tissue_types=[1,1];nuclei_binary_map=[1,2,256,256];hv_map=[1,2,256,256];nuclei_type_map=[1,6,256,256]",pass,2026-07-20
klt/seed43,release/huggingface/adapters/klt/seed43,KidneyLiverTonsil,43,lora_adaptformer_r8_a8_red16_heads_only,adapters/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed43_CLEAN_adapter.pth,31956368,123ad536ac9bab1a655bad4de91d044965c3cd9c0d399c1972b246179485fd3f,configs/release/compayl2026/klt/training_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed43_CLEAN.yaml,101953aa54b543759a056ed0517a8aaa0a61f1d23d79c8b6e53be88be68e2715,bc77a0d0aa8354b3b8f971d965fbe291ae5b4ab0a09886d6c622c8bfbe645443,31812156,91ae522ab092dd303919db6ddc43a3f3f4e54a73a94e1a40335af5a715215690,296,105,401,7908779,"{""float32"":366,""int64"":35}",LoRA;AdaptFormer;NP head;HV head;NT head,0:Background;1:Immune;2:Stromal;3:Epithelial;4:Melanocyte;5:Other,pass,pass,CellViT-SAM-H-x40.pth,b324c10fddb0f80f5ab03a0459453a4c4848866934daf63435b46749a6b278cf,pass,0,0,pass,"tissue_types=[1,1];nuclei_binary_map=[1,2,256,256];hv_map=[1,2,256,256];nuclei_type_map=[1,6,256,256]",pass,2026-07-20
tissue_specific/breast/seed42,release/huggingface/adapters/tissue_specific/breast/seed42,Breast,42,lora_adaptformer_r8_a8_red16_heads_only,adapters/sthelar40x_breast_5class_spatial_margin128_cap50000_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN_adapter.pth,31933820,5c23266a36dfbeb920d817164f3814f3fe08ea9ebebd2673d651d4ec9ed02b31,configs/release/compayl2026/tissue_specific/training_sthelar40x_breast_5class_spatial_margin128_cap50000_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN.yaml,a0626700023d9148ab5cf5eb4407aec8abec9ee135d3eba7b202ad5a2942f811,41872431b328a1f203ff6bc3044870eaa45f4cf21f171f64540e43165361806d,31812100,df2da19b6e32b15641fde119b3115bd1b31b40009ed958b690833eb9d051f3f5,296,105,401,7908779,"{""float32"":366,""int64"":35}",LoRA;AdaptFormer;NP head;HV head;NT head,0:Background;1:Immune;2:Stromal;3:Epithelial;4:Melanocyte;5:Other,pass,pass,CellViT-SAM-H-x40.pth,b324c10fddb0f80f5ab03a0459453a4c4848866934daf63435b46749a6b278cf,pass,0,0,pass,"tissue_types=[1,1];nuclei_binary_map=[1,2,256,256];hv_map=[1,2,256,256];nuclei_type_map=[1,6,256,256]",pass,2026-07-20
tissue_specific/colon/seed42,release/huggingface/adapters/tissue_specific/colon/seed42,Colon,42,lora_adaptformer_r8_a8_red16_heads_only,adapters/sthelar40x_colon_5class_spatial_margin128_lora_adaptformer_heads_only_seed42/sthelar40x_colon_5class_spatial_margin128_cap50000_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN_adapter.pth,31932839,929b20ba7edef3faea19594a184b96238dda0c67e8e00bbe3fe00c682de8624c,configs/release/compayl2026/tissue_specific/training_sthelar40x_colon_5class_spatial_margin128_cap50000_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN.yaml,dc89c8bd6cc4b446287cd9ffae356b4d04103d9c7cb75b88901b56d6345e4909,27d22f473eb52c27aeab9301308b44203ed59a36df443e3388d5e09b700e6879,31812028,57f5c1f483af257421ff17988705b47ae4d7e193ba78721c3545de9091b21c01,296,105,401,7908779,"{""float32"":366,""int64"":35}",LoRA;AdaptFormer;NP head;HV head;NT head,0:Background;1:Immune;2:Stromal;3:Epithelial;4:Melanocyte;5:Other,pass,pass,CellViT-SAM-H-x40.pth,b324c10fddb0f80f5ab03a0459453a4c4848866934daf63435b46749a6b278cf,pass,0,0,pass,"tissue_types=[1,1];nuclei_binary_map=[1,2,256,256];hv_map=[1,2,256,256];nuclei_type_map=[1,6,256,256]",pass,2026-07-20
tissue_specific/kidney/seed42,release/huggingface/adapters/tissue_specific/kidney/seed42,Kidney,42,lora_adaptformer_r8_a8_red16_heads_only,adapters/sthelar40x_kidney_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN_adapter.pth,31925695,c1a6d7745382eb82d7f0c827940fd127f6aa1c11efe44f6ef9eebe5024901e9b,configs/release/compayl2026/tissue_specific/training_sthelar40x_kidney_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN.yaml,7e36c95954e74129c06c660f00e05a1169d705d1f3c047ec5608ce39daa959fc,f7139f247b4c8d5bb7ec4b02f8229dd5830a96ac39ff713e1377944aaad33db8,31812004,07b90305180138e35916cd5f0046028a3452a48fe07483f19e7f35180580fd48,296,105,401,7908779,"{""float32"":366,""int64"":35}",LoRA;AdaptFormer;NP head;HV head;NT head,0:Background;1:Immune;2:Stromal;3:Epithelial;4:Melanocyte;5:Other,pass,pass,CellViT-SAM-H-x40.pth,b324c10fddb0f80f5ab03a0459453a4c4848866934daf63435b46749a6b278cf,pass,0,0,pass,"tissue_types=[1,1];nuclei_binary_map=[1,2,256,256];hv_map=[1,2,256,256];nuclei_type_map=[1,6,256,256]",pass,2026-07-20
tissue_specific/kidney/seed43,release/huggingface/adapters/tissue_specific/kidney/seed43,Kidney,43,lora_adaptformer_r8_a8_red16_heads_only,adapters/sthelar40x_kidney_5class_spatial_margin128_lora_adaptformer_heads_only_seed43/sthelar40x_kidney_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed43_CLEAN_adapter.pth,31925695,acf9e40f6b133e2073ef8dd219240a24028117aea04e110f66b9db19c327d36f,configs/release/compayl2026/tissue_specific/training_sthelar40x_kidney_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed43_CLEAN.yaml,a03148518b312ac0f554bfcde6d7fc7e40d80ca3257617237084f5925e9c969f,a21c18e9e60209454580aac33d8c173c624cee934539a5a0177008c403a0f1a9,31812060,0af3083727fa184a52db8b9383c072a9eed33129f85976afa15018a04a3e3fd5,296,105,401,7908779,"{""float32"":366,""int64"":35}",LoRA;AdaptFormer;NP head;HV head;NT head,0:Background;1:Immune;2:Stromal;3:Epithelial;4:Melanocyte;5:Other,pass,pass,CellViT-SAM-H-x40.pth,b324c10fddb0f80f5ab03a0459453a4c4848866934daf63435b46749a6b278cf,pass,0,0,pass,"tissue_types=[1,1];nuclei_binary_map=[1,2,256,256];hv_map=[1,2,256,256];nuclei_type_map=[1,6,256,256]",pass,2026-07-20
tissue_specific/liver/seed42,release/huggingface/adapters/tissue_specific/liver/seed42,Liver,42,lora_adaptformer_r8_a8_red16_heads_only,adapters/sthelar40x_liver_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN_adapter.pth,31925226,2ef8ee2925dc14969ace204897acaeafeffef0608f24fbb6cc4ca335b32dd3a9,configs/release/compayl2026/tissue_specific/training_sthelar40x_liver_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN.yaml,dbf520027118e50391dda70c9b41ed95b057890f8311c47224229ff5a2a049e0,892b058d292e097aea11a815e082d3a2cf82059d61b53a13355cc02a10b1a42d,31811988,86c3a97052847fa1d1b991a3c915a89654d94a7acda1ed9fa3c00de4110c3cff,296,105,401,7908779,"{""float32"":366,""int64"":35}",LoRA;AdaptFormer;NP head;HV head;NT head,0:Background;1:Immune;2:Stromal;3:Epithelial;4:Melanocyte;5:Other,pass,pass,CellViT-SAM-H-x40.pth,b324c10fddb0f80f5ab03a0459453a4c4848866934daf63435b46749a6b278cf,pass,0,0,pass,"tissue_types=[1,1];nuclei_binary_map=[1,2,256,256];hv_map=[1,2,256,256];nuclei_type_map=[1,6,256,256]",pass,2026-07-20
tissue_specific/lung/seed42,release/huggingface/adapters/tissue_specific/lung/seed42,Lung,42,lora_adaptformer_r8_a8_red16_heads_only,adapters/sthelar40x_lung_5class_spatial_margin128_cap50000_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN_adapter.pth,31930898,2281149c47ac023d17ad2b8a2910a7c25a609b31326c05c0497d8657aa2dab7a,configs/release/compayl2026/tissue_specific/training_sthelar40x_lung_5class_spatial_margin128_cap50000_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN.yaml,927f91669490dbfd2bc9675480b5dfcd760e0b6c9b3f6dcf740d33adeed76c57,75b486fb0e8e7166cb535f30d39f9bfc69c176d44e43b17cdfda68e8983410ea,31812068,77cda0133fa06351da106a728237d4dc79e9eed246975d617cf692b583f417e2,296,105,401,7908779,"{""float32"":366,""int64"":35}",LoRA;AdaptFormer;NP head;HV head;NT head,0:Background;1:Immune;2:Stromal;3:Epithelial;4:Melanocyte;5:Other,pass,pass,CellViT-SAM-H-x40.pth,b324c10fddb0f80f5ab03a0459453a4c4848866934daf63435b46749a6b278cf,pass,0,0,pass,"tissue_types=[1,1];nuclei_binary_map=[1,2,256,256];hv_map=[1,2,256,256];nuclei_type_map=[1,6,256,256]",pass,2026-07-20
tissue_specific/ovary/seed42,release/huggingface/adapters/tissue_specific/ovary/seed42,Ovary,42,lora_adaptformer_r8_a8_red16_heads_only,adapters/sthelar40x_ovary_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN_adapter.pth,31925226,a00cb91646af00f9259a5a632793a0fe505c6a2c8532d082137cfac767629a66,configs/release/compayl2026/tissue_specific/training_sthelar40x_ovary_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN.yaml,adc6f055eb1938d8797234c388bd7e22f7cf179b1c984843323b1e8f65fbf551,d69daa9d104da1fca2f779f5b4c633d7dcae14e3734acec172e0aea70d61bbf0,31812052,11133a3be26357e6387cfe714164ded302a486c3afbd8a688cda8ac0c93a474f,296,105,401,7908779,"{""float32"":366,""int64"":35}",LoRA;AdaptFormer;NP head;HV head;NT head,0:Background;1:Immune;2:Stromal;3:Epithelial;4:Melanocyte;5:Other,pass,pass,CellViT-SAM-H-x40.pth,b324c10fddb0f80f5ab03a0459453a4c4848866934daf63435b46749a6b278cf,pass,0,0,pass,"tissue_types=[1,1];nuclei_binary_map=[1,2,256,256];hv_map=[1,2,256,256];nuclei_type_map=[1,6,256,256]",pass,2026-07-20
tissue_specific/pancreatic/seed43,release/huggingface/adapters/tissue_specific/pancreatic/seed43,Pancreatic,43,lora_adaptformer_r8_a8_red16_heads_only,adapters/sthelar40x_pancreatic_5class_spatial_margin128_cap50000_lora_adaptformer_heads_only_seed43/sthelar40x_pancreatic_5class_spatial_margin128_cap50000_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed43_CLEAN_adapter.pth,31956368,e3b2886f1c58e389cebff0c406bac22a373fddaef170922f6f0011bb9002f056,configs/release/compayl2026/tissue_specific/training_sthelar40x_pancreatic_5class_spatial_margin128_cap50000_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed43_CLEAN.yaml,ea13c37fd01e814c792a973a1a70bb18db5b4f8af32e389c07b9c6e431953efa,10101cf61c113e3ccdf649495758fa0119f5b17e5683139684da2f50a0c75c17,31812148,cfa072affb2108b0a5f7cfe54a0f535f6849e2ee72773fdaef13bb3119dc3b59,296,105,401,7908779,"{""float32"":366,""int64"":35}",LoRA;AdaptFormer;NP head;HV head;NT head,0:Background;1:Immune;2:Stromal;3:Epithelial;4:Melanocyte;5:Other,pass,pass,CellViT-SAM-H-x40.pth,b324c10fddb0f80f5ab03a0459453a4c4848866934daf63435b46749a6b278cf,pass,0,0,pass,"tissue_types=[1,1];nuclei_binary_map=[1,2,256,256];hv_map=[1,2,256,256];nuclei_type_map=[1,6,256,256]",pass,2026-07-20
