adapter_id,run_name,base_model,base_checkpoint_sha256,training_config,source_config_sha256,canonical_checkpoint,canonical_checkpoint_exists,canonical_checkpoint_bytes,canonical_checkpoint_sha256,adapter_path,adapter_bytes,adapter_sha256,trainable_parameters,state_reconstruction,forward_verification,all_required_outputs_exact,verification_status,verification_timestamp,safe_to_delete_checkpoint
slide_exp/sthelar40x_kidney_5class_slideind_folda_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42,sthelar40x_kidney_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42,CellViT-256-x40,ee3986922fc500353db3d7692c566e19e1c694c8f10e47cf49dfd90160fc3b2b,configs/slide_exp/training/training_sthelar40x_kidney_5class_slideind_foldA_cellvit256_lora_adaptformer_heads_seed42.yaml,7017c9ccbb02e1e6fa4f21515ce862e0416aa4bbe858591af45494ee9958e4e4,run/sthelar40x_kidney_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-30T014011_sthelar40x_kidney_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/checkpoints/checkpoint_10.pth,false,191843167,d03c6a08ec7a7dda34dd369b2858f869728b29f3d492d1099f18f6680b76337c,adapters/slide_exp_safetensors/sthelar40x_kidney_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/adapter_model.safetensors,1613512,b1d69c44f81a6a773889aaea08e9826781daedf6ba6564084c99525808a905eb,374198,exact_all_tensors,exact_all_output_tensors,true,ok,2026-08-30T20:29:13.003387+00:00,true
slide_exp/sthelar40x_kidney_5class_slideind_foldb_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42,sthelar40x_kidney_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42,CellViT-256-x40,ee3986922fc500353db3d7692c566e19e1c694c8f10e47cf49dfd90160fc3b2b,configs/slide_exp/training/training_sthelar40x_kidney_5class_slideind_foldB_cellvit256_lora_adaptformer_heads_seed42.yaml,86b3a1cb71c493c3802f807c32da2d0bf572dde02193485e2f349d6a2e7ba0ef,run/sthelar40x_kidney_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-29T172314_sthelar40x_kidney_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/checkpoints/checkpoint_10.pth,false,191843103,4899c90f3df7884d5b2128d8c8b0b3d1e1a5ccb8b38029e9166a38d151f1914f,adapters/slide_exp_safetensors/sthelar40x_kidney_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/adapter_model.safetensors,1613440,9e0b789f3ffd18a0d59a237be6d790de02da407e24247331c7022768a89f0847,374198,exact_all_tensors,exact_all_output_tensors,true,ok,2026-08-30T20:29:25.087957+00:00,true
slide_exp/sthelar40x_klt_5class_slideind_folda_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed43,sthelar40x_klt_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed43,CellViT-256-x40,ee3986922fc500353db3d7692c566e19e1c694c8f10e47cf49dfd90160fc3b2b,configs/slide_exp/training/training_sthelar40x_klt_5class_slideind_foldA_cellvit256_lora_adaptformer_heads_seed43.yaml,878ae1b98bd0e24249ba0605fad984f3177d71985848087d0a0b3f5a29044d53,run/sthelar40x_klt_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed43/log/2026-08-28T161713_sthelar40x_klt_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed43/checkpoints/checkpoint_10.pth,true,191843103,761438ecf732b35f90b1ddf03efa852e13963b3970a1e9b5f0d8d051b8d199ec,adapters/slide_exp_safetensors/sthelar40x_klt_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed43/adapter_model.safetensors,1613552,df5581aadf97c17cfaad2c592b393137db00566d39b6a7bbef3156f821b2cc95,374198,exact_all_tensors,not_requested,false,ok,2026-08-29T14:44:39.346214+00:00,false
slide_exp/sthelar40x_klt_5class_slideind_folda_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed44,sthelar40x_klt_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed44,CellViT-256-x40,ee3986922fc500353db3d7692c566e19e1c694c8f10e47cf49dfd90160fc3b2b,configs/slide_exp/training/training_sthelar40x_klt_5class_slideind_foldA_cellvit256_lora_adaptformer_heads_seed44.yaml,94529a76c9bd9e24e70a63d816a70ca0c93bd6f6ce53f944e3dbd65d4b3a1dfa,run/sthelar40x_klt_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed44/log/2026-08-29T170826_sthelar40x_klt_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed44/checkpoints/checkpoint_10.pth,false,191843103,50d3a0d6e6283d6629a6693d91b83267122af1be5aa9f4f0a5ce21731e3be3e8,adapters/slide_exp_safetensors/sthelar40x_klt_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed44/adapter_model.safetensors,1613552,2ef74f9456e6ec9111c2068f435ee365c139813fd71df017c7aa2f90d6ce395a,374198,exact_all_tensors,exact_all_output_tensors,true,ok,2026-08-30T20:28:29.564964+00:00,true
slide_exp/sthelar40x_klt_5class_slideind_foldb_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed43,sthelar40x_klt_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed43,CellViT-256-x40,ee3986922fc500353db3d7692c566e19e1c694c8f10e47cf49dfd90160fc3b2b,configs/slide_exp/training/training_sthelar40x_klt_5class_slideind_foldB_cellvit256_lora_adaptformer_heads_seed43.yaml,c1df5a1630f5e44db3cf77a21bf412bbf242b5cb76753251d0c53ffe344a6aaf,run/sthelar40x_klt_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed43/log/2026-08-28T161713_sthelar40x_klt_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed43/checkpoints/checkpoint_10.pth,true,191843103,739448d8d45c8e7951e05d8708d6f0fc74f4d9452d43bc24d371d4aec85506ca,adapters/slide_exp_safetensors/sthelar40x_klt_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed43/adapter_model.safetensors,1613552,f55f1e9d83b92bd29a3d328cc3a218c54eed0b54e577456324c661f356b76cab,374198,exact_all_tensors,not_requested,false,ok,2026-08-29T14:44:39.172063+00:00,false
slide_exp/sthelar40x_klt_5class_slideind_foldb_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed44,sthelar40x_klt_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed44,CellViT-256-x40,ee3986922fc500353db3d7692c566e19e1c694c8f10e47cf49dfd90160fc3b2b,configs/slide_exp/training/training_sthelar40x_klt_5class_slideind_foldB_cellvit256_lora_adaptformer_heads_seed44.yaml,f9f0fd1ca5b980c930217ad9890d63b90a0e8077b97d8c1d0be8166d0bb28b73,run/sthelar40x_klt_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed44/log/2026-08-29T171724_sthelar40x_klt_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed44/checkpoints/checkpoint_10.pth,false,191843103,cbbaf6401eacc9aab1dea1f1ad6a2196f69e4e7bd500a27e60958bd04f56497e,adapters/slide_exp_safetensors/sthelar40x_klt_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed44/adapter_model.safetensors,1613560,2ec2ee9fb262eef545c36f3e0dfdfeff3686d99178fa40fba0111f189238452d,374198,exact_all_tensors,exact_all_output_tensors,true,ok,2026-08-30T20:29:01.106712+00:00,true
slide_exp/sthelar40x_liver_5class_slideind_folda_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42,sthelar40x_liver_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42,CellViT-256-x40,ee3986922fc500353db3d7692c566e19e1c694c8f10e47cf49dfd90160fc3b2b,configs/slide_exp/training/training_sthelar40x_liver_5class_slideind_foldA_cellvit256_lora_adaptformer_heads_seed42.yaml,e1f8c83c0793d1ec4c2f0510778949891f67aaefc04a9683012f689f0d1c7fe7,run/sthelar40x_liver_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-29T182535_sthelar40x_liver_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/checkpoints/checkpoint_10.pth,false,191843103,efc3785969cdd2f98aefb6937e3f39b0bec063e7c307a5ce8002ac93c5d058db,adapters/slide_exp_safetensors/sthelar40x_liver_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/adapter_model.safetensors,1613512,c17609c9a9c20e6cb766aaad2a232b3f3ba6d064478263d661f8654e1f8ca571,374198,exact_all_tensors,exact_all_output_tensors,true,ok,2026-08-30T20:29:37.257625+00:00,true
slide_exp/sthelar40x_liver_5class_slideind_foldb_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42,sthelar40x_liver_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42,CellViT-256-x40,ee3986922fc500353db3d7692c566e19e1c694c8f10e47cf49dfd90160fc3b2b,configs/slide_exp/training/training_sthelar40x_liver_5class_slideind_foldB_cellvit256_lora_adaptformer_heads_seed42.yaml,fa7d07c970fb8cfed5f748f2eb30fa2c77dc88939bd104df4e0bdbdd43eadfa4,run/sthelar40x_liver_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-29T223640_sthelar40x_liver_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/checkpoints/checkpoint_10.pth,false,191843103,40c20e5af76706bfccfcaab36634c0201bf7f59e794739255f63d12772b67cf6,adapters/slide_exp_safetensors/sthelar40x_liver_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/adapter_model.safetensors,1613456,d64cbdcd0d3f2de274997d8d4d2d3e3614efc8aea63d3eadbad8e6502c911ae9,374198,exact_all_tensors,exact_all_output_tensors,true,ok,2026-08-30T20:29:49.287183+00:00,true
slide_exp/sthelar40x_tonsil_5class_slideind_folda_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42,sthelar40x_tonsil_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42,CellViT-256-x40,ee3986922fc500353db3d7692c566e19e1c694c8f10e47cf49dfd90160fc3b2b,configs/slide_exp/training/training_sthelar40x_tonsil_5class_slideind_foldA_cellvit256_lora_adaptformer_heads_seed42.yaml,72b2f4bdbab39d76eb64e59fde878c0542a961245395237bddbc91c45493dc22,run/sthelar40x_tonsil_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-29T235644_sthelar40x_tonsil_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/checkpoints/checkpoint_10.pth,false,191843167,b3a1b90b85b106a0bc9adbc2960c188c55f295a7141ce5589cf384d313ff5852,adapters/slide_exp_safetensors/sthelar40x_tonsil_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/adapter_model.safetensors,1613456,678a9aa3b2e013211893f1d927a5b4a1b4df0bf44d396d341a8eda5161a58ec1,374198,exact_all_tensors,exact_all_output_tensors,true,ok,2026-08-30T20:30:01.195414+00:00,true
slide_exp/sthelar40x_tonsil_5class_slideind_foldb_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42,sthelar40x_tonsil_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42,CellViT-256-x40,ee3986922fc500353db3d7692c566e19e1c694c8f10e47cf49dfd90160fc3b2b,configs/slide_exp/training/training_sthelar40x_tonsil_5class_slideind_foldB_cellvit256_lora_adaptformer_heads_seed42.yaml,2647a2963a851f571147f4108730bfc9b19249aa8d074a83a4686d9a51bfea8e,run/sthelar40x_tonsil_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-30T002904_sthelar40x_tonsil_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/checkpoints/checkpoint_10.pth,false,191843167,9fa713dd1605790ffe8151e233607f1314c54d367ac23ebf07c5e0642098a50c,adapters/slide_exp_safetensors/sthelar40x_tonsil_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/adapter_model.safetensors,1613520,e66b33e3b0dbe8813aeb53759cb9b0371bb6f7ec1cb5ef33e8d86d7ea471b488,374198,exact_all_tensors,exact_all_output_tensors,true,ok,2026-08-30T20:30:13.452810+00:00,true
