backbone,method,fold,seed,total_parameters,trainable_parameters,trainable_percent,training_wall_seconds,mean_seconds_per_epoch,training_peak_allocated_gib,training_peak_reserved_gib,current_training_checkpoint_bytes,inference_peak_allocated_gib,inference_peak_reserved_gib,inference_patches_per_second,test_patches,dice,jaccard,bPQ,mPQ,f1_detection,gpu_model,partition,training_batch_size,inference_batch_size,amp_policy,pytorch_version,cuda_version,training_metrics_path,inference_metrics_path
SAM-H,Frozen,A,42,699741149,0,0.0,,,,,,3.8935141563415527,4.640625,10.083715834262202,23494,0.7391832092681122,0.6107341872729304,0.4762330981119236,,0.8286348809265502,NVIDIA A100-SXM4-40GB,,,16,CUDA autocast FP16 inference; training N/A,2.5.1+cu121,12.1,,${PROJECT_ROOT}/run/sthelar40x_klt_5class_slideind_foldA_frozen_seed42/eval/inference_efficiency_metrics.json
SAM-H,Frozen,B,42,699741149,0,0.0,,,,,,3.8935141563415527,4.640625,9.026305907430308,26335,0.7841773398301524,0.6597977607035863,0.5565095287045051,,0.848977656586027,NVIDIA A100-SXM4-40GB,,,16,CUDA autocast FP16 inference; training N/A,2.5.1+cu121,12.1,,${PROJECT_ROOT}/run/sthelar40x_klt_5class_slideind_foldB_frozen_seed42/eval/inference_efficiency_metrics.json
SAM-H,LP,A,42,699736523,650,9.289210704812674e-05,20278.850039371988,2027.8713424392015,3.8932323455810547,4.748046875,2799325178,7.820193290710449,8.392578125,9.636818181766811,23494,0.7340215852776181,0.601925194873826,0.4637176518892184,0.194705169305788,0.8315572452219171,NVIDIA A100-SXM4-40GB,,4,16,CUDA autocast FP16 train/inference; GradScaler train,2.5.1+cu121,12.1,${PROJECT_ROOT}/run/sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed42/log/2026-08-19T114405_sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed42/efficiency_metrics.json,${PROJECT_ROOT}/run/sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed42/log/2026-08-19T114405_sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed42/inference_efficiency_metrics.json
SAM-H,LP,B,42,699736523,650,9.289210704812674e-05,18164.480058168992,1816.4440212573943,3.8932323455810547,4.748046875,2799325178,7.820193290710449,8.392578125,8.809425316175256,26335,0.7861675157276968,0.6622997521127864,0.5591104585270299,0.21595039621882167,0.8510356789529319,NVIDIA A100-SXM4-40GB,,4,16,CUDA autocast FP16 train/inference; GradScaler train,2.5.1+cu121,12.1,${PROJECT_ROOT}/run/sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed42/log/2026-08-19T123449_sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed42/efficiency_metrics.json,${PROJECT_ROOT}/run/sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed42/log/2026-08-19T123449_sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed42/inference_efficiency_metrics.json
SAM-H,Selected PEFT,A,42,707644395,7908779,1.1176205246421826,28094.345991228998,2809.4134104965983,9.36176872253418,11.05859375,2894602378,6.834444999694824,11.05859375,8.51892946725378,23494,0.7909794465857495,0.6756325637420343,0.5198225335372662,0.21696313504866627,0.8427597834813471,NVIDIA A100-SXM4-40GB,,4,16,CUDA autocast FP16 train/inference; GradScaler train,2.5.1+cu121,12.1,${PROJECT_ROOT}/run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-19T105648_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/efficiency_metrics.json,${PROJECT_ROOT}/run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-19T105648_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_efficiency_metrics.json
SAM-H,Selected PEFT,B,42,707644395,7908779,1.1176205246421826,25169.484722574998,2516.9351801229,9.36176872253418,11.125,2894602378,6.834444999694824,11.125,8.138865233785564,26335,0.836443180419304,0.7312682490755203,0.609579157330767,0.23050523629255693,0.862920170836519,NVIDIA A100-SXM4-40GB,,4,16,CUDA autocast FP16 train/inference; GradScaler train,2.5.1+cu121,12.1,${PROJECT_ROOT}/run/sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-20T112527_sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/efficiency_metrics.json,${PROJECT_ROOT}/run/sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-20T112527_sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_efficiency_metrics.json
SAM-H,FullFT,A,42,699736523,699736523,100.0,31844.095517179998,3184.4016727749995,15.507665157318115,18.388671875,8397788372,7.882327079772949,18.388671875,9.537831418415287,23494,0.7909626248769975,0.6798806172553378,0.5225698997832955,0.17899682801735997,0.8316423191174487,NVIDIA A100-SXM4-40GB,,4,16,CUDA autocast FP16 train/inference; GradScaler train,2.5.1+cu121,12.1,${PROJECT_ROOT}/run/sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed42/log/2026-08-19T110413_sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed42/efficiency_metrics.json,${PROJECT_ROOT}/run/sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed42/log/2026-08-19T110413_sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed42/inference_efficiency_metrics.json
SAM-H,FullFT,B,42,699736523,699736523,100.0,25652.690591441,2565.261590954897,15.507665157318115,18.46875,8397788372,7.882327079772949,18.46875,8.32448079016848,26335,0.8385955567078696,0.7337988495726419,0.6057677353083719,0.22749216583349272,0.8622062797851348,NVIDIA A100-SXM4-40GB,,4,16,CUDA autocast FP16 train/inference; GradScaler train,2.5.1+cu121,12.1,${PROJECT_ROOT}/run/sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed42/log/2026-08-19T181004_sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed42/efficiency_metrics.json,${PROJECT_ROOT}/run/sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed42/log/2026-08-19T181004_sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed42/inference_efficiency_metrics.json
CellViT-256,Frozen,A,42,46750349,0,0.0,,,,,,1.336219310760498,1.8671875,10.842169644213126,23494,0.7477471264116758,0.6215853368070731,0.4745243595912722,,0.8335675154119958,NVIDIA A100-SXM4-40GB,gpua100,,16,CUDA autocast FP16 inference; training N/A,2.5.1+cu121,12.1,,${PROJECT_ROOT}/run/sthelar40x_klt_5class_slideind_foldA_cellvit256_frozen_seed42/eval/inference_efficiency_metrics.json
CellViT-256,Frozen,B,42,46750349,0,0.0,,,,,,1.336219310760498,1.8671875,9.654536508460096,26335,0.7954207793522314,0.6758827346688349,0.561385454804853,,0.8577758975449068,NVIDIA A100-SXM4-40GB,gpua100,,16,CUDA autocast FP16 inference; training N/A,2.5.1+cu121,12.1,,${PROJECT_ROOT}/run/sthelar40x_klt_5class_slideind_foldB_cellvit256_frozen_seed42/eval/inference_efficiency_metrics.json
