comparison,metric,directionality,lhs_value,rhs_value,absolute_delta_lhs_minus_rhs,relative_delta_percent
SAM-H PEFT vs SAM-H FullFT,mPQ,higher_better,0.2237341856706116,0.20324449692542634,0.020489688745185253,10.081300628131284
SAM-H PEFT vs SAM-H FullFT,bPQ,higher_better,0.5647008454340166,0.5641688175458337,0.0005320278881828511,0.09430295890815454
SAM-H PEFT vs SAM-H FullFT,F1 detection,higher_better,0.852839977158933,0.8469242994512918,0.0059156777076412315,0.6984895475869557
SAM-H PEFT vs SAM-H FullFT,Dice,higher_better,0.8137113135025267,0.8147790907924335,-0.0010677772899068128,-0.13105114036103815
SAM-H PEFT vs SAM-H FullFT,trainable parameters,lower_better,7908779,699736523,-691827744,-98.86974900694157
SAM-H PEFT vs SAM-H FullFT,training wall hours,lower_better,7.39775426580611,7.985664737308473,-0.5879104715023624,-7.362073050170581
SAM-H PEFT vs SAM-H FullFT,mean minutes per epoch,lower_better,44.38623825516249,47.91386053108248,-3.5276222759199882,-7.362425479432122
SAM-H PEFT vs SAM-H FullFT,training peak allocated GiB,lower_better,9.36176872253418,15.507665157318115,-6.1458964347839355,-39.63134599848945
SAM-H PEFT vs SAM-H FullFT,training peak reserved GiB,lower_better,11.091796875,18.4287109375,-7.3369140625,-39.81241057707594
SAM-H PEFT vs SAM-H FullFT,current training checkpoint bytes,lower_better,2894602378.0,8397788372.0,-5503185994.0,-65.53137266888965
SAM-H PEFT vs SAM-H FullFT,inference model weight bytes,lower_better,2831044052,2799293042,31751010,1.1342510242269954
SAM-H PEFT vs SAM-H FullFT,inference peak allocated GiB,lower_better,6.834444999694824,7.882327079772949,-1.047882080078125,-13.294070005888535
SAM-H PEFT vs SAM-H FullFT,inference patches per second,higher_better,8.328897350519672,8.931156104291883,-0.6022587537722117,-6.743345953641944
CellViT-256 PEFT vs CellViT-256 FullFT,mPQ,higher_better,0.192844311381445,0.1986440409557249,-0.005799729574279905,-2.9196594805341203
CellViT-256 PEFT vs CellViT-256 FullFT,bPQ,higher_better,0.5180046205346599,0.5536658482221223,-0.03566122768746238,-6.440929633275061
CellViT-256 PEFT vs CellViT-256 FullFT,F1 detection,higher_better,0.8419034582114597,0.8508988034735252,-0.008995345262065468,-1.057158057496943
CellViT-256 PEFT vs CellViT-256 FullFT,Dice,higher_better,0.7911379875575253,0.8099796995411492,-0.018841711983623943,-2.3261955817284963
CellViT-256 PEFT vs CellViT-256 FullFT,trainable parameters,lower_better,374198,46743419,-46369221,-99.1994637790616
CellViT-256 PEFT vs CellViT-256 FullFT,training wall hours,lower_better,6.043538675873889,5.576871061911248,0.4666676139626409,8.367911124032856
CellViT-256 PEFT vs CellViT-256 FullFT,mean minutes per epoch,lower_better,36.26097750603335,33.46075462097011,2.800222885063242,8.368678222541703
CellViT-256 PEFT vs CellViT-256 FullFT,training peak allocated GiB,lower_better,2.040327548980713,2.667426109313965,-0.627098560333252,-23.509500718448596
CellViT-256 PEFT vs CellViT-256 FullFT,training peak reserved GiB,lower_better,3.3046875,4.029296875,-0.724609375,-17.983519146873483
CellViT-256 PEFT vs CellViT-256 FullFT,current training checkpoint bytes,lower_better,191842847.0,561446912.0,-369604065.0,-65.83063458010434
CellViT-256 PEFT vs CellViT-256 FullFT,inference model weight bytes,lower_better,188732694,187194214,1538480,0.8218630090778278
CellViT-256 PEFT vs CellViT-256 FullFT,inference peak allocated GiB,lower_better,1.5810580253601074,1.6177992820739746,-0.03674125671386719,-2.2710639769085494
CellViT-256 PEFT vs CellViT-256 FullFT,inference patches per second,higher_better,9.38846869309419,8.4475677573634,0.9409009357307898,11.138128308123306
