run_name,epoch,max_epochs,epoch_start_time,train_end_time,val_end_time,train_minutes,validation_minutes,epoch_wall_minutes,train_loss,train_Dice,train_Jaccard,val_loss,val_Dice,val_Jaccard,val_bPQ,val_mPQ,old_lr,new_lr,new_best
sthelar40x_bps_9class_slide_adaptformer_gelu_red16_lr5e-5_clean_e3,1,3,2026-05-28 23:52:28.689000,2026-05-29 00:01:09.911000,2026-05-29 00:04:40.363000,8.69,3.51,12.19,9.8623,0.7389,0.6102,9.3455,0.7551,0.6332,0.4635,0.1552,5e-05,4.8e-05,1
sthelar40x_bps_9class_slide_adaptformer_gelu_red16_lr5e-5_clean_e3,2,3,2026-05-29 00:04:46.919000,2026-05-29 00:13:03.630000,2026-05-29 00:16:30.603000,8.28,3.45,11.73,8.8496,0.7546,0.6326,9.2913,0.7585,0.6371,0.4678,0.1604,4.8e-05,4.5e-05,1
sthelar40x_bps_9class_slide_adaptformer_gelu_red16_lr5e-5_clean_e3,3,3,2026-05-29 00:16:37.112000,2026-05-29 00:24:54.444000,2026-05-29 00:28:21.051000,8.29,3.44,11.73,8.6404,0.7609,0.6398,9.3194,0.7551,0.6328,0.459,0.1617,4.5e-05,4.3e-05,0
sthelar40x_bps_9class_slide_all_clean_unfreeze0_e3_seed42,1,3,2026-05-28 23:03:57.468000,2026-05-28 23:15:10.244000,2026-05-28 23:18:37.391000,11.21,3.45,14.67,9.7123,0.725,0.5937,9.8376,0.7141,0.5806,0.3751,0.1114,0.0001,9.5e-05,1
sthelar40x_bps_9class_slide_all_clean_unfreeze0_e3_seed42,2,3,2026-05-28 23:18:56.100000,2026-05-28 23:28:51.764000,2026-05-28 23:32:19.122000,9.93,3.46,13.38,9.0415,0.7364,0.6087,9.6378,0.7398,0.6132,0.4249,0.118,9.5e-05,9e-05,1
sthelar40x_bps_9class_slide_all_clean_unfreeze0_e3_seed42,3,3,2026-05-28 23:32:38.517000,2026-05-28 23:42:29.939000,2026-05-28 23:45:53.893000,9.86,3.4,13.26,8.9032,0.7462,0.6194,9.4936,0.7436,0.6182,0.4311,0.135,9e-05,8.6e-05,1
sthelar40x_bps_9class_slide_all_e3,1,3,2026-05-22 12:32:09.676000,2026-05-22 12:39:39.909000,2026-05-22 12:43:08.723000,7.5,3.48,10.98,9.7931,0.7385,0.6104,9.511,0.7375,0.6101,0.4282,0.1315,0.0001,9.5e-05,1
sthelar40x_bps_9class_slide_all_e3,2,3,2026-05-22 12:43:15.355000,2026-05-22 12:50:34.253000,2026-05-22 12:54:05.865000,7.31,3.53,10.84,8.8968,0.7486,0.6233,9.3416,0.7448,0.6197,0.4375,0.1457,9.5e-05,9e-05,1
sthelar40x_bps_9class_slide_all_e3,3,3,2026-05-22 12:54:12.323000,2026-05-22 13:04:25.195000,2026-05-22 13:07:57.619000,10.21,3.54,13.75,9.1449,0.7346,0.6062,9.4323,0.7447,0.619,0.4346,0.1364,9e-05,8.6e-05,0
sthelar40x_bps_9class_slide_all_e3_seed42,1,3,2026-05-25 10:14:11.713000,2026-05-25 10:21:31.103000,2026-05-25 10:25:03.687000,7.32,3.54,10.87,9.6048,0.7361,0.6075,9.4425,0.7412,0.6145,0.4328,0.1317,0.0001,9.5e-05,1
