group,param_count,fisher_mass_ckpt10,normalized_fisher_mass_ckpt10,fisher_mass_percent_ckpt10,fisher_mass_per_param_ckpt10,fisher_mean_x1e5_ckpt10,js_drift_1_to_5,js_drift_5_to_10,js_drift_per_param_1_to_5,js_drift_per_param_5_to_10,js_per_param_x1e7_1_to_5,js_per_param_x1e7_5_to_10,focus_group,rank_fisher_mass_ckpt10,rank_normalized_fisher_mass_ckpt10,rank_fisher_mass_per_param_ckpt10,rank_js_drift_1_to_5,rank_js_drift_5_to_10,rank_js_drift_per_param_1_to_5,rank_js_drift_per_param_5_to_10
other_trainable,7145728,93.2119744190721,0.43865262265491,43.865262265491,1.3044433599917616e-05,1.3044433599917615,0.3466327019864088,0.3387577004666584,4.850908150805751e-08,4.7407024234151985e-08,0.4850908150805751,0.4740702423415198,False,1,1,3,12,10,8,8
encoder_mlp,419635200,54.46901347421148,0.2563294658524018,25.63294658524018,1.2980086864546034e-07,0.012980086864546034,0.4254747537184446,0.421244496823873,1.0139157861839156e-09,1.0038349900672609e-09,0.010139157861839155,0.010038349900672608,True,2,2,10,8,5,12,12
encoder_attention_qkv,157409280,23.020649901430364,0.1083344550677896,10.833445506778961,1.4624709484364812e-07,0.014624709484364812,0.451947335901707,0.4101153671329856,2.8711606831675173e-09,2.6054078078051407e-09,0.028711606831675174,0.026054078078051407,True,3,3,9,7,6,11,11
encoder_attention_proj,52469760,16.222504113857504,0.0763425946067895,7.634259460678949,3.091781649822203e-07,0.030917816498222027,0.4524243814102865,0.4047804263087373,8.622573867505522e-09,7.714546937297545e-09,0.08622573867505522,0.07714546937297546,True,4,4,7,6,7,10,10
final_heads,333578,10.440424412592389,0.0491323092205301,4.91323092205301,3.129830028536771e-05,3.129830028536771,0.4640114238300335,0.303004423548874,1.391013267751571e-06,9.083465442831182e-07,13.91013267751571,9.083465442831182,True,5,5,1,5,12,4,4
decoder_nt,14966464,7.157000108461993,0.0336806176189737,3.36806176189737,4.782024737748338e-07,0.047820247377483374,0.7434179355857786,0.7114170086856518,4.9672249609913114e-08,4.753407409296223e-08,0.4967224960991311,0.47534074092962225,True,6,6,6,3,3,7,7
decoder_conv_like,17477248,3.9565924819981535,0.0186195998939174,1.8619599893917398,2.2638532576742939e-07,0.022638532576742938,0.4034442071896814,0.3637556875231039,2.3083966491159326e-08,2.081309869397653e-08,0.23083966491159327,0.20813098693976528,True,7,7,8,9,8,9,9
encoder_early_blocks,119840,2.252283592975197,0.0105991758159673,1.0599175815967299,1.8794088726428548e-05,1.8794088726428548,0.3716539280017927,0.3239727425036,3.1012510681057468e-06,2.703377357339786e-06,31.012510681057467,27.03377357339786,False,8,8,2,11,11,3,3
encoder_mid_blocks,119840,0.8450217874178481,0.0039766459788189,0.39766459788189,7.051249895008745e-06,0.7051249895008745,0.3964335234056958,0.3634009788137465,3.3080233929046715e-06,3.03238466967412e-06,33.08023392904671,30.323846696741196,False,9,9,4,10,9,2,2
decoder_hv,14966464,0.5764656923099976,0.0027128294339682,0.27128294339681996,3.8517160253082994e-08,0.0038517160253082995,0.7561284562427634,0.738608588487725,5.052151638775621e-08,4.9350908035974634e-08,0.505215163877562,0.49350908035974633,False,10,10,11,2,2,6,6
encoder_late_blocks,126400,0.1947616798854858,0.0009165423456255,0.09165423456255001,1.540836075043401e-06,0.15408360750434008,0.5161829168474756,0.474631106359569,4.083725607970535e-06,3.7549929300598814e-06,40.83725607970535,37.54992930059881,False,11,11,5,4,4,1,1
decoder_np,14966464,0.1494148332573678,0.0007031415103087,0.07031415103087,9.983308900309908e-09,0.0009983308900309907,0.7593731948604938,0.7562504912553939,5.073831700396926e-08,5.0529670285205235e-08,0.5073831700396927,0.5052967028520524,False,12,12,12,1,1,5,5
classifier,257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,13,13,13,13,13,13,13
