method,seed,row_type,aggregation_definition,fold_A_n_seeds,fold_A_test_slides,fold_A_source,fold_A_Dice,fold_A_Jaccard,fold_A_bPQ,fold_A_mPQ,fold_A_F1det,fold_A_F1type,fold_A_epithelial_f1,fold_A_epithelial_matched_true_support,fold_A_epithelial_total_true_support,fold_A_immune_f1,fold_A_immune_matched_true_support,fold_A_immune_total_true_support,fold_A_stromal_f1,fold_A_stromal_matched_true_support,fold_A_stromal_total_true_support,fold_A_melanocyte_f1,fold_A_melanocyte_matched_true_support,fold_A_melanocyte_total_true_support,fold_A_other_f1,fold_A_other_matched_true_support,fold_A_other_total_true_support,fold_B_n_seeds,fold_B_test_slides,fold_B_source,fold_B_Dice,fold_B_Jaccard,fold_B_bPQ,fold_B_mPQ,fold_B_F1det,fold_B_F1type,fold_B_epithelial_f1,fold_B_epithelial_matched_true_support,fold_B_epithelial_total_true_support,fold_B_immune_f1,fold_B_immune_matched_true_support,fold_B_immune_total_true_support,fold_B_stromal_f1,fold_B_stromal_matched_true_support,fold_B_stromal_total_true_support,fold_B_melanocyte_f1,fold_B_melanocyte_matched_true_support,fold_B_melanocyte_total_true_support,fold_B_other_f1,fold_B_other_matched_true_support,fold_B_other_total_true_support,mean_of_fold_means_Dice,mean_of_fold_means_Jaccard,mean_of_fold_means_bPQ,mean_of_fold_means_mPQ,mean_of_fold_means_F1det,mean_of_fold_means_F1type,mean_of_fold_means_epithelial_f1,mean_of_fold_means_epithelial_matched_true_support,mean_of_fold_means_epithelial_total_true_support,mean_of_fold_means_immune_f1,mean_of_fold_means_immune_matched_true_support,mean_of_fold_means_immune_total_true_support,mean_of_fold_means_stromal_f1,mean_of_fold_means_stromal_matched_true_support,mean_of_fold_means_stromal_total_true_support,mean_of_fold_means_melanocyte_f1,mean_of_fold_means_melanocyte_matched_true_support,mean_of_fold_means_melanocyte_total_true_support,mean_of_fold_means_other_f1,mean_of_fold_means_other_matched_true_support,mean_of_fold_means_other_total_true_support
Frozen,42,seed_result,single completed seed; Fold A/B kept separate,1,kidney_s1;liver_s1;tonsil_s1,run/sthelar40x_klt_5class_slideind_foldA_cellvit256_frozen_seed42/eval/frozen_class_agnostic_results.json,0.7477471264,0.6215853368,0.4745243596,NA,0.8335675154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,kidney_s0;liver_s0;tonsil_s0,run/sthelar40x_klt_5class_slideind_foldB_cellvit256_frozen_seed42/eval/frozen_class_agnostic_results.json,0.7954207794,0.6758827347,0.5613854548,NA,0.8577758975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frozen,MEAN,mean_across_seeds,computed independently within each fold; sample SD (n-1),1,kidney_s1;liver_s1;tonsil_s1,completed seeds: 42,0.7477471264,0.6215853368,0.4745243596,NA,0.8335675154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,kidney_s0;liver_s0;tonsil_s0,completed seeds: 42,0.7954207794,0.6758827347,0.5613854548,NA,0.8577758975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7715839529,0.6487340357,0.5179549072,NA,0.8456717065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frozen,SD,sd_across_seeds,computed independently within each fold; sample SD (n-1),1,kidney_s1;liver_s1;tonsil_s1,completed seeds: 42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,kidney_s0;liver_s0;tonsil_s0,completed seeds: 42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LP,42,seed_result,single completed seed; Fold A/B kept separate,1,kidney_s1;liver_s1;tonsil_s1,run/sthelar40x_klt_5class_slideind_foldA_cellvit256_lp_final_heads_e10_seed42/log/2026-08-24T195358_sthelar40x_klt_5class_slideind_foldA_cellvit256_lp_final_heads_e10_seed42/inference_results.json,0.735079889,0.6027798047,0.4470146875,0.1735879174,0.8283977167,0.399374646,0.4568511997,200895,276648,0.7858803403,512009,644660,0.3540331374,185808,260198,0,0,0,0.0007339065,19059,41721,1,kidney_s0;liver_s0;tonsil_s0,run/sthelar40x_klt_5class_slideind_foldB_cellvit256_lp_final_heads_e10_seed42/log/2026-08-24T203638_sthelar40x_klt_5class_slideind_foldB_cellvit256_lp_final_heads_e10_seed42/inference_results.json,0.7883824144,0.6656935682,0.5482964434,0.1994256139,0.853129757,0.4140062944,0.5778457367,286457,376299,0.8160010583,700359,865901,0.2621783826,224662,292258,0,0,0,0,11124,23592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LP,MEAN,mean_across_seeds,computed independently within each fold; sample SD (n-1),1,kidney_s1;liver_s1;tonsil_s1,completed seeds: 42,0.735079889,0.6027798047,0.4470146875,0.1735879174,0.8283977167,0.399374646,0.4568511997,200895,276648,0.7858803403,512009,644660,0.3540331374,185808,260198,0,0,0,0.0007339065,19059,41721,1,kidney_s0;liver_s0;tonsil_s0,completed seeds: 42,0.7883824144,0.6656935682,0.5482964434,0.1994256139,0.853129757,0.4140062944,0.5778457367,286457,376299,0.8160010583,700359,865901,0.2621783826,224662,292258,0,0,0,0,11124,23592,0.7617311517,0.6342366865,0.4976555654,0.1865067656,0.8407637368,0.4066904702,0.5173484682,243676,326473.5,0.8009406993,606184,755280.5,0.30810576,205235,276228,0,0,0,0.0003669532,15091.5,32656.5
LP,SD,sd_across_seeds,computed independently within each fold; sample SD (n-1),1,kidney_s1;liver_s1;tonsil_s1,completed seeds: 42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,kidney_s0;liver_s0;tonsil_s0,completed seeds: 42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Selected PEFT,42,seed_result,single completed seed; Fold A/B kept separate,1,kidney_s1;liver_s1;tonsil_s1,run/sthelar40x_klt_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-25T114238_sthelar40x_klt_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,0.7675673802,0.6409130348,0.4684175181,0.1904655427,0.8244940951,0.4975618683,0.6623993845,220505,275710,0.7365285354,528436,644067,0.4910904699,203598,259698,0,0,0,0.1002290835,23410,41603,1,kidney_s0;liver_s0;tonsil_s0,run/sthelar40x_klt_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-25T114238_sthelar40x_klt_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,0.814708595,0.7000795457,0.5675917229,0.1952230801,0.8593128213,0.4648430242,0.6342587945,309935,375660,0.8242638832,714111,865023,0.345854186,234741,291664,0,0,0,0.0549952331,12638,23408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Selected PEFT,MEAN,mean_across_seeds,computed independently within each fold; sample SD (n-1),1,kidney_s1;liver_s1;tonsil_s1,completed seeds: 42,0.7675673802,0.6409130348,0.4684175181,0.1904655427,0.8244940951,0.4975618683,0.6623993845,220505,275710,0.7365285354,528436,644067,0.4910904699,203598,259698,0,0,0,0.1002290835,23410,41603,1,kidney_s0;liver_s0;tonsil_s0,completed seeds: 42,0.814708595,0.7000795457,0.5675917229,0.1952230801,0.8593128213,0.4648430242,0.6342587945,309935,375660,0.8242638832,714111,865023,0.345854186,234741,291664,0,0,0,0.0549952331,12638,23408,0.7911379876,0.6704962903,0.5180046205,0.1928443114,0.8419034582,0.4812024463,0.6483290895,265220,325685,0.7803962093,621273.5,754545,0.4184723279,219169.5,275681,0,0,0,0.0776121583,18024,32505.5
Selected PEFT,SD,sd_across_seeds,computed independently within each fold; sample SD (n-1),1,kidney_s1;liver_s1;tonsil_s1,completed seeds: 42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,kidney_s0;liver_s0;tonsil_s0,completed seeds: 42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FullFT,42,seed_result,single completed seed; Fold A/B kept separate,1,kidney_s1;liver_s1;tonsil_s1,run/sthelar40x_klt_5class_slideind_foldA_cellvit256_fullft_lr1e-5_e10_seed42/log/2026-08-24T115109_sthelar40x_klt_5class_slideind_foldA_cellvit256_fullft_lr1e-5_e10_seed42/inference_results.json,0.7868975779,0.6730208727,0.5109647691,0.1927164876,0.83591075,0.4674051427,0.5606523392,221136,275858,0.7137573156,534023,644229,0.5151729642,200121,259792,0,0,0,0.080037952,19194,41651,1,kidney_s0;liver_s0;tonsil_s0,run/sthelar40x_klt_5class_slideind_foldB_cellvit256_fullft_lr1e-5_e10_seed42/log/2026-08-24T115109_sthelar40x_klt_5class_slideind_foldB_cellvit256_fullft_lr1e-5_e10_seed42/inference_results.json,0.8330618212,0.7260751367,0.5963669273,0.2045715943,0.865886857,0.4812184887,0.5983406755,322434,376689,0.8201069807,722989,866039,0.3825992434,240126,292507,0,0,0,0.1238270552,14381,23598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
