method,seed,row_type,aggregation_definition,fold_A_n_seeds,fold_A_test_slides,fold_A_source,fold_A_Dice,fold_A_Jaccard,fold_A_bPQ,fold_A_mPQ,fold_A_F1det,fold_A_F1type,fold_A_epithelial_f1,fold_A_epithelial_matched_true_support,fold_A_epithelial_total_true_support,fold_A_immune_f1,fold_A_immune_matched_true_support,fold_A_immune_total_true_support,fold_A_stromal_f1,fold_A_stromal_matched_true_support,fold_A_stromal_total_true_support,fold_A_melanocyte_f1,fold_A_melanocyte_matched_true_support,fold_A_melanocyte_total_true_support,fold_A_other_f1,fold_A_other_matched_true_support,fold_A_other_total_true_support,fold_B_n_seeds,fold_B_test_slides,fold_B_source,fold_B_Dice,fold_B_Jaccard,fold_B_bPQ,fold_B_mPQ,fold_B_F1det,fold_B_F1type,fold_B_epithelial_f1,fold_B_epithelial_matched_true_support,fold_B_epithelial_total_true_support,fold_B_immune_f1,fold_B_immune_matched_true_support,fold_B_immune_total_true_support,fold_B_stromal_f1,fold_B_stromal_matched_true_support,fold_B_stromal_total_true_support,fold_B_melanocyte_f1,fold_B_melanocyte_matched_true_support,fold_B_melanocyte_total_true_support,fold_B_other_f1,fold_B_other_matched_true_support,fold_B_other_total_true_support,mean_of_fold_means_Dice,mean_of_fold_means_Jaccard,mean_of_fold_means_bPQ,mean_of_fold_means_mPQ,mean_of_fold_means_F1det,mean_of_fold_means_F1type,mean_of_fold_means_epithelial_f1,mean_of_fold_means_epithelial_matched_true_support,mean_of_fold_means_epithelial_total_true_support,mean_of_fold_means_immune_f1,mean_of_fold_means_immune_matched_true_support,mean_of_fold_means_immune_total_true_support,mean_of_fold_means_stromal_f1,mean_of_fold_means_stromal_matched_true_support,mean_of_fold_means_stromal_total_true_support,mean_of_fold_means_melanocyte_f1,mean_of_fold_means_melanocyte_matched_true_support,mean_of_fold_means_melanocyte_total_true_support,mean_of_fold_means_other_f1,mean_of_fold_means_other_matched_true_support,mean_of_fold_means_other_total_true_support
Frozen,42,seed_result,single completed seed; Fold A/B kept separate,1,kidney_s1;liver_s1;tonsil_s1,run/sthelar40x_klt_5class_slideind_foldA_frozen_seed42/eval/frozen_class_agnostic_results.json,0.7391832093,0.6107341873,0.4762330981,NA,0.8286348809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,kidney_s0;liver_s0;tonsil_s0,run/sthelar40x_klt_5class_slideind_foldB_frozen_seed42/eval/frozen_class_agnostic_results.json,0.7841773398,0.6597977607,0.5565095287,NA,0.8489776566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frozen,MEAN,mean_across_seeds,computed independently within each fold; sample SD (n-1),1,kidney_s1;liver_s1;tonsil_s1,completed seeds: 42,0.7391832093,0.6107341873,0.4762330981,NA,0.8286348809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,kidney_s0;liver_s0;tonsil_s0,completed seeds: 42,0.7841773398,0.6597977607,0.5565095287,NA,0.8489776566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7616802745,0.635265974,0.5163713134,NA,0.8388062688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frozen,SD,sd_across_seeds,computed independently within each fold; sample SD (n-1),1,kidney_s1;liver_s1;tonsil_s1,completed seeds: 42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,kidney_s0;liver_s0;tonsil_s0,completed seeds: 42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LP,42,seed_result,single completed seed; Fold A/B kept separate,1,kidney_s1;liver_s1;tonsil_s1,run/sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed42/log/2026-08-19T114405_sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed42/inference_results.json,0.7340215853,0.6019251949,0.4637176519,0.1947051693,0.8315572452,0.4156916386,0.4782762618,202466,276803,0.8028766365,507388,644689,0.3816136561,186274,260279,0,0,0,0,18998,41775,1,kidney_s0;liver_s0;tonsil_s0,run/sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed42/log/2026-08-19T123449_sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed42/inference_results.json,0.7861675157,0.6622997521,0.5591104585,0.2159503962,0.851035679,0.4209223143,0.6784830806,285378,377596,0.8130055382,687543,866327,0.1922006385,221685,292693,0,0,0,0,11370,23634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LP,43,seed_result,single completed seed; Fold A/B kept separate,1,kidney_s1;liver_s1;tonsil_s1,run/sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed43/log/2026-08-20T165926_sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed43/inference_results.json,0.7294925121,0.5974664324,0.4630845166,0.2035584167,0.8260697788,0.438962522,0.6188542349,198994,276719,0.7971819566,501128,644648,0.3398138966,181980,260255,0,0,0,0,17818,41775,1,kidney_s0;liver_s0;tonsil_s0,run/sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed43/log/2026-08-20T194225_sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed43/inference_results.json,0.7853999384,0.6612672618,0.5592874665,0.2077255243,0.8498629997,0.4152702475,0.5732343269,284140,377510,0.8020727607,684978,866326,0.2855959664,220463,292684,0,0,0,0.0001779359,11236,23634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LP,MEAN,mean_across_seeds,computed independently within each fold; sample SD (n-1),2,kidney_s1;liver_s1;tonsil_s1,completed seeds: 42;43,0.7317570487,0.5996958137,0.4634010843,0.199131793,0.828813512,0.4273270803,0.5485652483,200730,276761,0.8000292966,504258,644668.5,0.3607137763,184127,260267,0,0,0,0,18408,41775,2,kidney_s0;liver_s0;tonsil_s0,completed seeds: 42;43,0.7857837271,0.661783507,0.5591989625,0.2118379602,0.8504493393,0.4180962809,0.6258587038,284759,377553,0.8075391495,686260.5,866326.5,0.2388983025,221074,292688.5,0,0,0,0.000088968,11303,23634,0.7587703879,0.6307396603,0.5113000234,0.2054848766,0.8396314257,0.4227116806,0.587211976,242744.5,327157,0.803784223,595259.25,755497.5,0.2998060394,202600.5,276477.75,0,0,0,0.000044484,14855.5,32704.5
LP,SD,sd_across_seeds,computed independently within each fold; sample SD (n-1),2,kidney_s1;liver_s1;tonsil_s1,completed seeds: 42;43,0.0032025384,0.0031528212,0.0004476942,0.0062601913,0.0038802247,0.0164549995,0.0994036381,2455.0747442797,59.3969696197,0.0040267468,4426.4884502278,28.9913780286,0.0295568934,3036.316518415,16.9705627485,0,0,0,0,834.3860018001,0,2,kidney_s0;liver_s0;tonsil_s0,completed seeds: 42;43,0.0005427591,0.0007300809,0.0001251635,0.0058158627,0.0008292094,0.0039966148,0.0744221074,875.3981951089,60.811183182,0.0077306411,1813.7288937435,0.7071067812,0.0660404697,864.08448661,6.3639610307,0,0,0,0.0001258197,94.752308679,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Selected PEFT,42,seed_result,single completed seed; Fold A/B kept separate,1,kidney_s1;liver_s1;tonsil_s1,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-19T105648_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,0.7909794466,0.6756325637,0.5198225335,0.216963135,0.8427597835,0.4835673843,0.6470542838,225463,276753,0.7543827243,536496,644639,0.5327313863,203714,260197,0,0,0,0.0001011429,19762,41741,1,kidney_s0;liver_s0;tonsil_s0,run/sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-20T112527_sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,0.8364431804,0.7312682491,0.6095791573,0.2305052363,0.8629201708,0.4779197431,0.6963120214,326868,377387,0.8234745929,723997,866243,0.391760083,242837,292611,0,0,0,0.0001322751,15111,23623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Selected PEFT,43,seed_result,single completed seed; Fold A/B kept separate,1,kidney_s1;liver_s1;tonsil_s1,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed43/log/2026-08-24T122637_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed43/inference_results.json,0.7881098934,0.6743479623,0.519882691,0.2145142902,0.8431757013,0.4829911881,0.6555259161,224511,276099,0.7447726913,537531,644485,0.5303571788,203736,260074,0,0,0,0.0013089664,19713,41731,1,kidney_s0;liver_s0;tonsil_s0,run/sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed43/log/2026-08-24T122637_sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed43/inference_results.json,0.8371375271,0.732402214,0.6114209245,0.240552094,0.8661168971,0.4959636712,0.7221506802,326707,377255,0.8236436041,724836,866241,0.4189382797,242736,292573,0,0,0,0.0191221208,14918,23582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Selected PEFT,MEAN,mean_across_seeds,computed independently within each fold; sample SD (n-1),2,kidney_s1;liver_s1;tonsil_s1,completed seeds: 42;43,0.78954467,0.674990263,0.5198526123,0.2157387126,0.8429677424,0.4832792862,0.6512900999,224987,276426,0.7495777078,537013.5,644562,0.5315442825,203725,260135.5,0,0,0,0.0007050547,19737.5,41736,2,kidney_s0;liver_s0;tonsil_s0,completed seeds: 42;43,0.8367903538,0.7318352315,0.6105000409,0.2355286652,0.864518534,0.4869417071,0.7092313508,326787.5,377321,0.8235590985,724416.5,866242,0.4053491813,242786.5,292592,0,0,0,0.009627198,15014.5,23602.5,0.8131675119,0.7034127473,0.5651763266,0.2256336889,0.8537431382,0.4851104967,0.6802607254,275887.25,326873.5,0.7865684031,630715,755402,0.4684467319,223255.75,276363.75,0,0,0,0.0051661263,17376,32669.25
