backbone,method,seed,fold,row_type,held_out_slides,Dice,bPQ,mPQ,F1det,F1type,trainable_parameters,trainable_percent,training_peak_allocated_gib,training_wall_seconds,training_wall_hours,adapter_only_bytes,adapter_only_mib,inference_peak_allocated_gib,inference_patches_per_second,gpu_model,training_batch_size,inference_batch_size,amp_policy,test_source,efficiency_source
SAM-H,Selected PEFT,42,A,matched_fold,kidney_s1;liver_s1;tonsil_s1,0.7909794466,0.5198225335,0.216963135,0.8427597835,0.4835673843,7908779,1.1176205246,9.3617687225,28094.345991229,7.8039849976,31844024,30.3688278198,6.8344449997,8.5189294673,NVIDIA A100-SXM4-40GB,4,16,CUDA autocast FP16 train/inference; GradScaler train,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-19T105648_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,reports/efficiency_audit/matched_fold_measurements.csv; adapter size from reports/efficiency_audit/paper_ready_efficiency.csv
SAM-H,Selected PEFT,42,B,matched_fold,kidney_s0;liver_s0;tonsil_s0,0.8364431804,0.6095791573,0.2305052363,0.8629201708,0.4779197431,7908779,1.1176205246,9.3617687225,25169.484722575,6.991523534,31844024,30.3688278198,6.8344449997,8.1388652338,NVIDIA A100-SXM4-40GB,4,16,CUDA autocast FP16 train/inference; GradScaler train,run/sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-20T112527_sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,reports/efficiency_audit/matched_fold_measurements.csv; adapter size from reports/efficiency_audit/paper_ready_efficiency.csv
SAM-H,Selected PEFT,42,A+B,mean_of_fold_values,six complete held-out slides; folds not treated as replicates,0.8137113135,0.5647008454,0.2237341857,0.8528399772,0.4807435637,7908779,1.1176205246,9.3617687225,26631.915356902,7.3977542658,31844024,30.3688278198,6.8344449997,8.3288973505,NVIDIA A100-SXM4-40GB,4,16,CUDA autocast FP16 train/inference; GradScaler train,mean of the two explicit matched fold rows,reports/efficiency_audit/matched_fold_measurements.csv; adapter size from reports/efficiency_audit/paper_ready_efficiency.csv
SAM-H,FullFT,42,A,matched_fold,kidney_s1;liver_s1;tonsil_s1,0.7909626249,0.5225698998,0.178996828,0.8316423191,0.4431954417,699736523,100,15.5076651573,31844.09551718,8.8455820881,NA,NA,7.8823270798,9.5378314184,NVIDIA A100-SXM4-40GB,4,16,CUDA autocast FP16 train/inference; GradScaler train,run/sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed42/log/2026-08-19T110413_sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed42/inference_results.json,reports/efficiency_audit/matched_fold_measurements.csv; adapter size from reports/efficiency_audit/paper_ready_efficiency.csv
SAM-H,FullFT,42,B,matched_fold,kidney_s0;liver_s0;tonsil_s0,0.8385955567,0.6057677353,0.2274921658,0.8622062798,0.5380824596,699736523,100,15.5076651573,25652.690591441,7.1257473865,NA,NA,7.8823270798,8.3244807902,NVIDIA A100-SXM4-40GB,4,16,CUDA autocast FP16 train/inference; GradScaler train,run/sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed42/log/2026-08-19T181004_sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed42/inference_results.json,reports/efficiency_audit/matched_fold_measurements.csv; adapter size from reports/efficiency_audit/paper_ready_efficiency.csv
SAM-H,FullFT,42,A+B,mean_of_fold_values,six complete held-out slides; folds not treated as replicates,0.8147790908,0.5641688175,0.2032444969,0.8469242995,0.4906389506,699736523,100,15.5076651573,28748.3930543105,7.9856647373,NA,NA,7.8823270798,8.9311561043,NVIDIA A100-SXM4-40GB,4,16,CUDA autocast FP16 train/inference; GradScaler train,mean of the two explicit matched fold rows,reports/efficiency_audit/matched_fold_measurements.csv; adapter size from reports/efficiency_audit/paper_ready_efficiency.csv
CellViT-256,Selected PEFT,42,A,matched_fold,kidney_s1;liver_s1;tonsil_s1,0.7675673802,0.4684175181,0.1904655427,0.8244940951,0.4975618683,374198,0.7941894902,2.040327549,24857.718075667,6.9049216877,1623604,1.5483894348,1.5810580254,9.6327772237,NVIDIA A100-SXM4-40GB,4,16,CUDA autocast FP16 train/inference; GradScaler train,run/sthelar40x_klt_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-25T114238_sthelar40x_klt_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,reports/efficiency_audit/matched_fold_measurements.csv; adapter size from reports/efficiency_audit/paper_ready_efficiency.csv
CellViT-256,Selected PEFT,42,B,matched_fold,kidney_s0;liver_s0;tonsil_s0,0.814708595,0.5675917229,0.1952230801,0.8593128213,0.4648430242,374198,0.7941894902,2.040327549,18655.760390625,5.1821556641,1623604,1.5483894348,1.5810580254,9.1441601625,NVIDIA A100-SXM4-40GB,4,16,CUDA autocast FP16 train/inference; GradScaler train,run/sthelar40x_klt_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-25T114238_sthelar40x_klt_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,reports/efficiency_audit/matched_fold_measurements.csv; adapter size from reports/efficiency_audit/paper_ready_efficiency.csv
CellViT-256,Selected PEFT,42,A+B,mean_of_fold_values,six complete held-out slides; folds not treated as replicates,0.7911379876,0.5180046205,0.1928443114,0.8419034582,0.4812024463,374198,0.7941894902,2.040327549,21756.739233146,6.0435386759,1623604,1.5483894348,1.5810580254,9.3884686931,NVIDIA A100-SXM4-40GB,4,16,CUDA autocast FP16 train/inference; GradScaler train,mean of the two explicit matched fold rows,reports/efficiency_audit/matched_fold_measurements.csv; adapter size from reports/efficiency_audit/paper_ready_efficiency.csv
CellViT-256,FullFT,42,A,matched_fold,kidney_s1;liver_s1;tonsil_s1,0.7868975779,0.5109647691,0.1927164876,0.83591075,0.4674051427,46743419,100,2.6674261093,21537.1591879,5.9825442189,NA,NA,1.6177992821,8.6911507188,NVIDIA A100-SXM4-40GB,4,16,CUDA autocast FP16 train/inference; GradScaler train,run/sthelar40x_klt_5class_slideind_foldA_cellvit256_fullft_lr1e-5_e10_seed42/log/2026-08-24T115109_sthelar40x_klt_5class_slideind_foldA_cellvit256_fullft_lr1e-5_e10_seed42/inference_results.json,reports/efficiency_audit/matched_fold_measurements.csv; adapter size from reports/efficiency_audit/paper_ready_efficiency.csv
