protocol,scope,backbone,method,seed,fold,slide_id,class,taxonomy_metrics_valid,source,f1,precision,recall,matched_true_support,matched_pred_support,unmatched_true,unmatched_pred,total_true_support,total_pred_support
slide-independent,fold,SAM-H,Frozen,42,A,ALL_HELD_OUT_SLIDES,Epithelial,False,run/sthelar40x_klt_5class_slideind_foldA_frozen_seed42/eval/frozen_class_agnostic_results.json,NA,NA,NA,NA,NA,NA,NA,NA,NA
slide-independent,fold,SAM-H,Frozen,42,A,ALL_HELD_OUT_SLIDES,Immune,False,run/sthelar40x_klt_5class_slideind_foldA_frozen_seed42/eval/frozen_class_agnostic_results.json,NA,NA,NA,NA,NA,NA,NA,NA,NA
slide-independent,fold,SAM-H,Frozen,42,A,ALL_HELD_OUT_SLIDES,Stromal,False,run/sthelar40x_klt_5class_slideind_foldA_frozen_seed42/eval/frozen_class_agnostic_results.json,NA,NA,NA,NA,NA,NA,NA,NA,NA
slide-independent,fold,SAM-H,Frozen,42,A,ALL_HELD_OUT_SLIDES,Melanocyte,False,run/sthelar40x_klt_5class_slideind_foldA_frozen_seed42/eval/frozen_class_agnostic_results.json,NA,NA,NA,NA,NA,NA,NA,NA,NA
slide-independent,fold,SAM-H,Frozen,42,A,ALL_HELD_OUT_SLIDES,Other,False,run/sthelar40x_klt_5class_slideind_foldA_frozen_seed42/eval/frozen_class_agnostic_results.json,NA,NA,NA,NA,NA,NA,NA,NA,NA
slide-independent,fold,SAM-H,LP,42,A,ALL_HELD_OUT_SLIDES,Epithelial,True,run/sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed42/log/2026-08-19T114405_sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed42/inference_results.json,0.4782762618,0.5667338764,0.4137040293,202466,147796,74337,7923,276803,155719
slide-independent,fold,SAM-H,LP,42,A,ALL_HELD_OUT_SLIDES,Immune,True,run/sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed42/log/2026-08-19T114405_sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed42/inference_results.json,0.8028766365,0.7791566451,0.8280861983,507388,539251,137301,34962,644689,574213
slide-independent,fold,SAM-H,LP,42,A,ALL_HELD_OUT_SLIDES,Stromal,True,run/sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed42/log/2026-08-19T114405_sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed42/inference_results.json,0.3816136561,0.3466417043,0.4244338985,186274,228077,74005,18853,260279,246930
slide-independent,fold,SAM-H,LP,42,A,ALL_HELD_OUT_SLIDES,Melanocyte,True,run/sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed42/log/2026-08-19T114405_sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed42/inference_results.json,0,0,0,0,0,0,0,0,0
slide-independent,fold,SAM-H,LP,42,A,ALL_HELD_OUT_SLIDES,Other,True,run/sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed42/log/2026-08-19T114405_sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed42/inference_results.json,0,0,0,18998,2,22777,0,41775,2
