protocol,backbone,method,seed,fold,slide_id,tissue,num_patches,bPQ,mPQ,F1det,F1type,taxonomy_metrics_valid,source,epithelial_f1,epithelial_matched_true_support,epithelial_total_true_support,immune_f1,immune_matched_true_support,immune_total_true_support,stromal_f1,stromal_matched_true_support,stromal_total_true_support,melanocyte_f1,melanocyte_matched_true_support,melanocyte_total_true_support,other_f1,other_matched_true_support,other_total_true_support
slide-independent,SAM-H,Frozen,42,A,kidney_s1,Kidney,4449,0.5153473001,NA,0.8423060486,NA,False,run/sthelar40x_klt_5class_slideind_foldA_frozen_seed42/eval/frozen_class_agnostic_results.json,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
slide-independent,SAM-H,Frozen,42,A,liver_s1,Liver,9166,0.521203491,NA,0.8443799742,NA,False,run/sthelar40x_klt_5class_slideind_foldA_frozen_seed42/eval/frozen_class_agnostic_results.json,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
slide-independent,SAM-H,Frozen,42,A,tonsil_s1,Tonsil,9879,0.4168933162,NA,0.8206361415,NA,False,run/sthelar40x_klt_5class_slideind_foldA_frozen_seed42/eval/frozen_class_agnostic_results.json,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
slide-independent,SAM-H,Selected PEFT,42,A,kidney_s1,Kidney,4449,0.5766296186,0.1826117588,0.8669268129,0.3010895029,True,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-19T105648_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,0.1532877882,13101,17674,0.5542283923,52308,58432,0.4968418311,21500,26658,0,0,0,0,1158,2105
slide-independent,SAM-H,Selected PEFT,42,A,liver_s1,Liver,9166,0.5773691043,0.2316365824,0.8721990867,0.3595158732,True,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-19T105648_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,0.6654687601,146973,176168,0.1973352539,56187,66225,0.5752594789,60899,72718,0,0,0,0,545,1125
slide-independent,SAM-H,Selected PEFT,42,A,tonsil_s1,Tonsil,9879,0.4408462617,0.2188188345,0.8278658722,0.5072728422,True,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-19T105648_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,0.6773975728,65389,82911,0.8427674706,428001,519982,0.5088155956,121315,160821,0,0,0,0.0001107297,18059,38511
slide-independent,SAM-H,Selected PEFT,43,A,kidney_s1,Kidney,4449,0.592842504,0.1737605915,0.8717240013,0.2896680248,True,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed43/log/2026-08-24T122637_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed43/inference_results.json,0.1990191135,12756,17621,0.4764517102,52415,58365,0.4780377643,21512,26613,0,0,0,0.0051635112,1116,2096
slide-independent,SAM-H,Selected PEFT,43,A,liver_s1,Liver,9166,0.5743359828,0.2262144941,0.8737465094,0.339055036,True,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed43/log/2026-08-24T122637_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed43/inference_results.json,0.6635161575,146204,175616,0.1234691469,56309,66192,0.5692348397,60959,72657,0,0,0,0,561,1125
slide-independent,SAM-H,Selected PEFT,43,A,tonsil_s1,Tonsil,9879,0.4365020775,0.2220119253,0.8273292201,0.51711406,True,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed43/log/2026-08-24T122637_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed43/inference_results.json,0.7072949416,65551,82862,0.8435815105,428807,519928,0.5164732874,121265,160804,0,0,0,0.0011065007,18036,38510
slide-independent,SAM-H,NT-header1,42,A,kidney_s1,Kidney,4449,0.5880480522,0.1544645035,0.8634539954,0.2739006341,True,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed42/log/2026-08-19T183125_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed42/inference_results.json,0.0946861082,12638,17660,0.4081093381,51698,58409,0.4631751025,21074,26647,0,0,0,0.1296319878,1145,2106
