backbone,method,seed,metric,within_slide,slide_independent_fold_A,slide_independent_fold_B,slide_independent_mean_of_fold_values,absolute_delta_slideind_minus_within,within_test_composition,slideind_test_composition,composition_matched,within_source,slideind_fold_A_source,slideind_fold_B_source
SAM-H,LP,42,Dice,0.7033344368,0.7340215853,0.7861675157,0.7600945505,0.0567601137,"4,653 spatially held-out patches sampled from all six KLT slides","Fold A: 23,494 complete-slide patches from s1; Fold B: 26,335 complete-slide patches from s0",False,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_klt_final_heads_only_frozen_encoder_decoder_e10_seed42/log/2026-07-02T153245_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_klt_final_heads_only_frozen_encoder_decoder_e10_seed42/inference_results.json,run/sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed42/log/2026-08-19T114405_sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed42/inference_results.json,run/sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed42/log/2026-08-19T123449_sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed42/inference_results.json
SAM-H,LP,42,bPQ,0.4456910975,0.4637176519,0.5591104585,0.5114140552,0.0657229577,"4,653 spatially held-out patches sampled from all six KLT slides","Fold A: 23,494 complete-slide patches from s1; Fold B: 26,335 complete-slide patches from s0",False,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_klt_final_heads_only_frozen_encoder_decoder_e10_seed42/log/2026-07-02T153245_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_klt_final_heads_only_frozen_encoder_decoder_e10_seed42/inference_results.json,run/sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed42/log/2026-08-19T114405_sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed42/inference_results.json,run/sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed42/log/2026-08-19T123449_sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed42/inference_results.json
SAM-H,LP,42,mPQ,0.204321597,0.1947051693,0.2159503962,0.2053277828,0.0010061858,"4,653 spatially held-out patches sampled from all six KLT slides","Fold A: 23,494 complete-slide patches from s1; Fold B: 26,335 complete-slide patches from s0",False,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_klt_final_heads_only_frozen_encoder_decoder_e10_seed42/log/2026-07-02T153245_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_klt_final_heads_only_frozen_encoder_decoder_e10_seed42/inference_results.json,run/sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed42/log/2026-08-19T114405_sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed42/inference_results.json,run/sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed42/log/2026-08-19T123449_sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed42/inference_results.json
SAM-H,LP,42,F1det,0.8181389226,0.8315572452,0.851035679,0.8412964621,0.0231575395,"4,653 spatially held-out patches sampled from all six KLT slides","Fold A: 23,494 complete-slide patches from s1; Fold B: 26,335 complete-slide patches from s0",False,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_klt_final_heads_only_frozen_encoder_decoder_e10_seed42/log/2026-07-02T153245_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_klt_final_heads_only_frozen_encoder_decoder_e10_seed42/inference_results.json,run/sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed42/log/2026-08-19T114405_sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed42/inference_results.json,run/sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed42/log/2026-08-19T123449_sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed42/inference_results.json
SAM-H,LP,42,F1type,0.4299347991,0.4156916386,0.4209223143,0.4183069765,-0.0116278227,"4,653 spatially held-out patches sampled from all six KLT slides","Fold A: 23,494 complete-slide patches from s1; Fold B: 26,335 complete-slide patches from s0",False,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_klt_final_heads_only_frozen_encoder_decoder_e10_seed42/log/2026-07-02T153245_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_klt_final_heads_only_frozen_encoder_decoder_e10_seed42/inference_results.json,run/sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed42/log/2026-08-19T114405_sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed42/inference_results.json,run/sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed42/log/2026-08-19T123449_sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed42/inference_results.json
SAM-H,Selected PEFT,42,Dice,0.7740537842,0.7909794466,0.8364431804,0.8137113135,0.0396575294,"4,653 spatially held-out patches sampled from all six KLT slides","Fold A: 23,494 complete-slide patches from s1; Fold B: 26,335 complete-slide patches from s0",False,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN/log/2026-06-25T113302_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN/inference_results.json,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-19T105648_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,run/sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-20T112527_sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
SAM-H,Selected PEFT,42,bPQ,0.5075766593,0.5198225335,0.6095791573,0.5647008454,0.0571241861,"4,653 spatially held-out patches sampled from all six KLT slides","Fold A: 23,494 complete-slide patches from s1; Fold B: 26,335 complete-slide patches from s0",False,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN/log/2026-06-25T113302_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN/inference_results.json,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-19T105648_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,run/sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-20T112527_sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
SAM-H,Selected PEFT,42,mPQ,0.2969476584,0.216963135,0.2305052363,0.2237341857,-0.0732134728,"4,653 spatially held-out patches sampled from all six KLT slides","Fold A: 23,494 complete-slide patches from s1; Fold B: 26,335 complete-slide patches from s0",False,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN/log/2026-06-25T113302_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN/inference_results.json,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-19T105648_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,run/sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-20T112527_sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
SAM-H,Selected PEFT,42,F1det,0.8335849533,0.8427597835,0.8629201708,0.8528399772,0.0192550239,"4,653 spatially held-out patches sampled from all six KLT slides","Fold A: 23,494 complete-slide patches from s1; Fold B: 26,335 complete-slide patches from s0",False,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN/log/2026-06-25T113302_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN/inference_results.json,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-19T105648_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,run/sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-20T112527_sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
SAM-H,Selected PEFT,42,F1type,0.5612426843,0.4835673843,0.4779197431,0.4807435637,-0.0804991206,"4,653 spatially held-out patches sampled from all six KLT slides","Fold A: 23,494 complete-slide patches from s1; Fold B: 26,335 complete-slide patches from s0",False,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN/log/2026-06-25T113302_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN/inference_results.json,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-19T105648_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,run/sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-20T112527_sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
SAM-H,Selected PEFT,43,Dice,0.7702947279,0.7881098934,0.8371375271,0.8126237102,0.0423289823,"4,653 spatially held-out patches sampled from all six KLT slides","Fold A: 23,494 complete-slide patches from s1; Fold B: 26,335 complete-slide patches from s0",False,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed43_CLEAN/log/2026-06-26T002217_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed43_CLEAN/inference_results.json,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed43/log/2026-08-24T122637_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed43/inference_results.json,run/sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed43/log/2026-08-24T122637_sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed43/inference_results.json
