backbone,method,tissue,fold,seed,train_slide,test_slide,test_patches,test_true_support,Dice,bPQ,mPQ,F1det,F1type,immune_F1,immune_matched_support,immune_total_true_support,stromal_F1,stromal_matched_support,stromal_total_true_support,epithelial_F1,epithelial_matched_support,epithelial_total_true_support,melanocyte_F1,melanocyte_matched_support,melanocyte_total_true_support,other_F1,other_matched_support,other_total_true_support,dominant_confusion,dominant_confusion_count,checkpoint_policy,source_inference_json
CellViT-SAM-H,Selected PEFT,Breast,A,42,breast_s0,breast_s1,49569,820290,0.7590276994023327,0.4112616179815712,0.23857305473510598,0.8128841744653897,0.5000135737752548,0.5085495493352993,155868,193476,0.6237051954863809,164404,205990,0.8375895539634851,311609,395725,nan,0,0,0.030209996315854106,5450,25099,Immune->Stromal,57086,checkpoint_10 TEST,run/sthelar40x_breast_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-26T105512_sthelar40x_breast_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
CellViT-SAM-H,Selected PEFT,Breast,B,42,breast_s1,breast_s0,45773,1251232,0.7938356488681992,0.45245932771260233,0.27794233356452025,0.8317567253900526,0.5343068738786741,0.6917241447951191,197979,238925,0.49262610391721295,190567,234604,0.9300811364883204,619467,762687,nan,0,0,0.022796110314044316,11264,15016,Stromal->Immune,95534,checkpoint_10 TEST,run/sthelar40x_breast_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-26T225723_sthelar40x_breast_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
CellViT-SAM-H,Selected PEFT,Colon,A,42,colon_s1,colon_s2,11903,752353,0.7036804849979382,0.2847208450111339,0.14954937065127744,0.7509523225018568,0.4265028166505718,0.5688719063447348,148455,195875,0.2763654141639894,23800,30566,0.850011838722771,361264,511629,nan,0,0,0.010762107370792142,7764,14283,Epithelial->Immune,56422,checkpoint_10 TEST,run/sthelar40x_colon_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-26T110313_sthelar40x_colon_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
CellViT-SAM-H,Selected PEFT,Colon,B,42,colon_s2,colon_s1,18464,1183780,0.6532830136626561,0.2865091276140891,0.11990913794066184,0.74411793121062,0.3866776104853643,0.3843201488703878,150047,208114,0.29607104623909464,225362,368241,0.8663192468319747,393774,590393,nan,0,0,0.0,7701,17032,Stromal->Immune,156281,checkpoint_10 TEST,run/sthelar40x_colon_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-27T154219_sthelar40x_colon_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
CellViT-SAM-H,Selected PEFT,Kidney,A,42,kidney_s0,kidney_s1,4449,104835,0.801429288433335,0.5495288937181175,0.09036437232079898,0.847799845291999,0.14924860814224455,0.06996354531060132,51254,58422,0.4025363973012733,20986,26644,0.1208247651864614,12660,17669,nan,0,0,0.003669724770642202,1081,2100,Immune->Stromal,46015,checkpoint_10 TEST,run/sthelar40x_kidney_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-25T220941_sthelar40x_kidney_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
CellViT-SAM-H,Selected PEFT,Kidney,B,42,kidney_s1,kidney_s0,6723,191643,0.8343084270621355,0.6094194930834752,0.05290012436894858,0.900829711576452,0.10598213656435491,0.17239754463717175,16255,19732,0.15618821668643731,47028,55116,0.09534278493381061,92912,106874,nan,0,0,0.0,6729,9921,Epithelial->Immune,84882,checkpoint_10 TEST,run/sthelar40x_kidney_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-29T060654_sthelar40x_kidney_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
CellViT-SAM-H,Selected PEFT,Liver,A,42,liver_s0,liver_s1,9166,315935,0.7956153624568125,0.48007024095491996,0.17150571328971126,0.8431559251836118,0.2649016754227152,0.017299499907390256,53118,66191,0.44613349308571715,56751,72684,0.5961737086977533,142638,175936,nan,0,0,0.0,419,1124,Epithelial->Stromal,79410,checkpoint_10 TEST,run/sthelar40x_liver_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-25T220941_sthelar40x_liver_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
CellViT-SAM-H,Selected PEFT,Liver,B,42,liver_s1,liver_s0,20427,480093,0.776509757057797,0.5218891073485565,0.24455487927283093,0.8826469722686456,0.4030201245608104,0.3285815126629134,89350,106478,0.4651182034075018,76143,97143,0.8183807821728264,238175,271122,nan,0,0,0.0,2649,5350,Immune->Epithelial,56418,checkpoint_10 TEST,run/sthelar40x_liver_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-29T060941_sthelar40x_liver_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
CellViT-SAM-H,Selected PEFT,Lung,A,42,lung_s1,lung_s3,20621,554155,0.7833767925485886,0.5083038175992315,0.1934084809192781,0.8429629162625882,0.40421136379813805,0.6220212610963856,162574,194173,0.6385166234294117,142469,174761,0.35483098509510524,121008,145102,nan,0,0,0.001476585571649557,28337,40119,Epithelial->Immune,61435,checkpoint_10 TEST,run/sthelar40x_lung_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-26T141800_sthelar40x_lung_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
CellViT-SAM-H,Selected PEFT,Lung,B,42,lung_s3,lung_s1,10938,320398,0.8297162857123773,0.5636510047398432,0.251397281010138,0.8619419381056374,0.4700817253528707,0.7262746376652569,126042,145454,0.434201266713582,57991,71716,0.7189156626506024,53323,68294,nan,0,0,0.0009353343820415799,23479,34934,Stromal->Immune,39038,checkpoint_10 TEST,run/sthelar40x_lung_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-27T154613_sthelar40x_lung_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json
