dataset,tissue,row_type,slide_id,selected_slides,max_patches_per_slide,before_cap_patches,after_cap_patches,after_spatial_margin_filter_patches,train_count,valid_count,test_count,discarded_by_margin_count,cap_removed_patches,margin_removed_fraction_after_cap,split_check_pass,split_check_csv,split_manifest,after_cap_fraction_within_dataset,kept_fraction_within_dataset,dominant_after_cap_slide,dominant_kept_slide,slide_dominates_after_cap,slide_dominates_kept
KLT,Kidney/Liver/Tonsil,slide,kidney_s0,"kidney_s0,kidney_s1,liver_s0,liver_s1,tonsil_s0,tonsil_s1",10000.0,6948,6948,6723,5543,778,402,225,0,0.032383,True,reports/split_checks/klt_margin128_spatial_leakage_check.csv,DATA_ROOT/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128/split_manifest.yaml,0.13512,0.134921,False,False,False,False
KLT,Kidney/Liver/Tonsil,slide,kidney_s1,"kidney_s0,kidney_s1,liver_s0,liver_s1,tonsil_s0,tonsil_s1",10000.0,4831,4831,4449,3262,650,537,382,0,0.079073,True,reports/split_checks/klt_margin128_spatial_leakage_check.csv,DATA_ROOT/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128/split_manifest.yaml,0.09395,0.089285,False,False,False,False
KLT,Kidney/Liver/Tonsil,slide,liver_s0,"kidney_s0,kidney_s1,liver_s0,liver_s1,tonsil_s0,tonsil_s1",10000.0,20942,10000,9756,7078,1902,776,244,10942,0.0244,True,reports/split_checks/klt_margin128_spatial_leakage_check.csv,DATA_ROOT/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128/split_manifest.yaml,0.194473,0.19579,True,False,False,False
KLT,Kidney/Liver/Tonsil,slide,liver_s1,"kidney_s0,kidney_s1,liver_s0,liver_s1,tonsil_s0,tonsil_s1",10000.0,9642,9642,9166,6553,1621,992,476,0,0.049367,True,reports/split_checks/klt_margin128_spatial_leakage_check.csv,DATA_ROOT/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128/split_manifest.yaml,0.187511,0.183949,False,False,False,False
KLT,Kidney/Liver/Tonsil,slide,tonsil_s0,"kidney_s0,kidney_s1,liver_s0,liver_s1,tonsil_s0,tonsil_s1",10000.0,23402,10000,9856,7239,1743,874,144,13402,0.0144,True,reports/split_checks/klt_margin128_spatial_leakage_check.csv,DATA_ROOT/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128/split_manifest.yaml,0.194473,0.197796,True,False,False,False
KLT,Kidney/Liver/Tonsil,slide,tonsil_s1,"kidney_s0,kidney_s1,liver_s0,liver_s1,tonsil_s0,tonsil_s1",10000.0,21351,10000,9879,7434,1373,1072,121,11351,0.0121,True,reports/split_checks/klt_margin128_spatial_leakage_check.csv,DATA_ROOT/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128/split_manifest.yaml,0.194473,0.198258,True,True,False,False
KLT,Kidney/Liver/Tonsil,total,ALL,"kidney_s0,kidney_s1,liver_s0,liver_s1,tonsil_s0,tonsil_s1",10000.0,87116,51421,49829,37109,8067,4653,1592,35695,0.03096,True,reports/split_checks/klt_margin128_spatial_leakage_check.csv,DATA_ROOT/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128/split_manifest.yaml,1.0,1.0,False,False,False,False
sthelar40x_breast_5class_spatial_margin128_cap50000,Breast,slide,breast_s0,"breast_s0,breast_s1",50000.0,46109,46109,45773,37195,5910,2668,336,0,0.007287,True,reports/split_checks/sthelar40x_breast_5class_spatial_margin128_cap50000.csv,DATA_ROOT/sthelar40x_breast_5class_spatial_margin128_cap50000/split_manifest.yaml,0.479757,0.480093,False,False,False,False
sthelar40x_breast_5class_spatial_margin128_cap50000,Breast,slide,breast_s1,"breast_s0,breast_s1",50000.0,120000,50000,49569,34680,8114,6775,431,70000,0.00862,True,reports/split_checks/sthelar40x_breast_5class_spatial_margin128_cap50000.csv,DATA_ROOT/sthelar40x_breast_5class_spatial_margin128_cap50000/split_manifest.yaml,0.520243,0.519907,True,True,False,False
sthelar40x_breast_5class_spatial_margin128_cap50000,Breast,total,ALL,"breast_s0,breast_s1",50000.0,166109,96109,95342,71875,14024,9443,767,70000,0.007981,True,reports/split_checks/sthelar40x_breast_5class_spatial_margin128_cap50000.csv,DATA_ROOT/sthelar40x_breast_5class_spatial_margin128_cap50000/split_manifest.yaml,1.0,1.0,False,False,False,False
sthelar40x_colon_5class_spatial_margin128_cap50000,Colon,slide,colon_s1,"colon_s1,colon_s2",50000.0,18870,18870,18464,14114,2321,2029,406,0,0.021516,True,reports/split_checks/sthelar40x_colon_5class_spatial_margin128_cap50000.csv,DATA_ROOT/sthelar40x_colon_5class_spatial_margin128_cap50000/split_manifest.yaml,0.604711,0.608028,True,True,False,False
sthelar40x_colon_5class_spatial_margin128_cap50000,Colon,slide,colon_s2,"colon_s1,colon_s2",50000.0,12335,12335,11903,9012,1678,1213,432,0,0.035022,True,reports/split_checks/sthelar40x_colon_5class_spatial_margin128_cap50000.csv,DATA_ROOT/sthelar40x_colon_5class_spatial_margin128_cap50000/split_manifest.yaml,0.395289,0.391972,False,False,False,False
sthelar40x_colon_5class_spatial_margin128_cap50000,Colon,total,ALL,"colon_s1,colon_s2",50000.0,31205,31205,30367,23126,3999,3242,838,0,0.026855,True,reports/split_checks/sthelar40x_colon_5class_spatial_margin128_cap50000.csv,DATA_ROOT/sthelar40x_colon_5class_spatial_margin128_cap50000/split_manifest.yaml,1.0,1.0,False,False,False,False
sthelar40x_kidney_5class_spatial_margin128,Kidney,slide,kidney_s0,"kidney_s0,kidney_s1",,6948,6948,6723,5543,778,402,225,0,0.032383,True,reports/split_checks/sthelar40x_kidney_5class_spatial_margin128.csv,DATA_ROOT/sthelar40x_kidney_5class_spatial_margin128/split_manifest.yaml,0.589863,0.601772,True,True,False,False
sthelar40x_kidney_5class_spatial_margin128,Kidney,slide,kidney_s1,"kidney_s0,kidney_s1",,4831,4831,4449,3262,650,537,382,0,0.079073,True,reports/split_checks/sthelar40x_kidney_5class_spatial_margin128.csv,DATA_ROOT/sthelar40x_kidney_5class_spatial_margin128/split_manifest.yaml,0.410137,0.398228,False,False,False,False
sthelar40x_kidney_5class_spatial_margin128,Kidney,total,ALL,"kidney_s0,kidney_s1",,11779,11779,11172,8805,1428,939,607,0,0.051532,True,reports/split_checks/sthelar40x_kidney_5class_spatial_margin128.csv,DATA_ROOT/sthelar40x_kidney_5class_spatial_margin128/split_manifest.yaml,1.0,1.0,False,False,False,False
sthelar40x_liver_5class_spatial_margin128,Liver,slide,liver_s0,"liver_s0,liver_s1",,20942,20942,20427,14748,4032,1647,515,0,0.024592,True,reports/split_checks/sthelar40x_liver_5class_spatial_margin128.csv,DATA_ROOT/sthelar40x_liver_5class_spatial_margin128/split_manifest.yaml,0.684737,0.690265,True,True,False,False
sthelar40x_liver_5class_spatial_margin128,Liver,slide,liver_s1,"liver_s0,liver_s1",,9642,9642,9166,6553,1621,992,476,0,0.049367,True,reports/split_checks/sthelar40x_liver_5class_spatial_margin128.csv,DATA_ROOT/sthelar40x_liver_5class_spatial_margin128/split_manifest.yaml,0.315263,0.309735,False,False,False,False
sthelar40x_liver_5class_spatial_margin128,Liver,total,ALL,"liver_s0,liver_s1",,30584,30584,29593,21301,5653,2639,991,0,0.032403,True,reports/split_checks/sthelar40x_liver_5class_spatial_margin128.csv,DATA_ROOT/sthelar40x_liver_5class_spatial_margin128/split_manifest.yaml,1.0,1.0,False,False,False,False
sthelar40x_lung_5class_spatial_margin128_cap50000,Lung,slide,lung_s1,"lung_s1,lung_s3",50000.0,11298,11298,10938,7820,1724,1394,360,0,0.031864,True,reports/split_checks/sthelar40x_lung_5class_spatial_margin128_cap50000.csv,DATA_ROOT/sthelar40x_lung_5class_spatial_margin128_cap50000/split_manifest.yaml,0.350087,0.346589,False,False,False,False
sthelar40x_lung_5class_spatial_margin128_cap50000,Lung,slide,lung_s3,"lung_s1,lung_s3",50000.0,20974,20974,20621,17109,2438,1074,353,0,0.01683,True,reports/split_checks/sthelar40x_lung_5class_spatial_margin128_cap50000.csv,DATA_ROOT/sthelar40x_lung_5class_spatial_margin128_cap50000/split_manifest.yaml,0.649913,0.653411,True,True,False,False
