tissue,fullft_mpq,peft_mpq,mpq_recovery_percent,fullft_f1_detection,peft_f1_detection,fullft_f1_type,peft_f1_type,peft_run_policy
Liver,0.4124,0.3925,95.2,0.8839,0.8916,0.6661,0.5673,seed42
Kidney,0.2592,0.2484,95.8,0.8285,0.8332,0.5222,0.5013,mean_seed42_seed43
Ovary,0.3195,0.2999,93.9,0.8311,0.8414,0.6455,0.6182,seed42
Breast,0.3481,0.3348,96.2,0.8176,0.8424,0.6232,0.5873,seed42
Colon,0.2057,0.2047,99.5,0.7876,0.7904,0.6910,0.6076,seed42
Lung,0.3225,0.3015,93.5,0.8511,0.8637,0.6683,0.6271,seed42
Pancreatic,0.2118,0.2389,112.8,0.6802,0.7383,0.6965,0.6682,seed43
Skin,0.2107,0.2239,106.3,0.7006,0.7250,0.6892,0.6778,seed42
Tonsil,0.2498,0.2346,93.9,0.8203,0.8226,0.6752,0.5955,seed43
Mean,0.2822,0.2755,97.6,0.8001,0.8165,0.6530,0.6056,across_tissues
