path,size_bytes,size_gib,modification_date_utc,experiment_family,method,tissues,seed,checkpoint_files,prediction_inference_artifacts,referenced_by_paper_tables,referenced_by_adapter_manifests,used_for_published_adapter,likely_needed_for_qualitative_figures_qc,classification,candidate_subartifacts,rationale
run/sthelar40x_bps_9class_slide_adaptformer_gelu_r16_e3,21326,0.000020,2026-06-10T17:42:21+00:00,BPS multi-tissue 9-class exploratory,AdaptFormer,Breast;Pancreatic;Skin,19,NONE,NONE,NO,NO,NO,NO,CANDIDATE_DELETE,NONE,"Failed/debug attempt: only configuration, dataset manifest, and a short log; no checkpoint or inference result."
run/sthelar40x_bps_9class_slide_adaptformer_gelu_red16_lr5e-5_clean_e3,2789503,0.002598,2026-06-10T17:42:20+00:00,BPS multi-tissue 9-class exploratory,AdaptFormer,Breast;Pancreatic;Skin,42,NONE,log/2026-05-28T235029_sthelar40x_bps_9class_slide_adaptformer_gelu_red16_lr5e-5_clean_e3/inference_results.json [533006 B],NO,NO,NO,NO,KEEP_USEFUL,NONE,"No checkpoint remains, but inference results preserve otherwise non-reconstructable historical evidence."
run/sthelar40x_bps_9class_slide_all_clean_unfreeze0_e3_seed42,5288872,0.004926,2026-06-10T17:42:20+00:00,BPS multi-tissue 9-class exploratory,All parameters / early FullFT prototype,Breast;Pancreatic;Skin,42,NONE,log/2026-05-28T230209_sthelar40x_bps_9class_slide_all_clean_unfreeze0_e3_seed42/inference_results.json [502105 B],NO,NO,NO,NO,KEEP_USEFUL,NONE,"No checkpoint remains, but inference results preserve otherwise non-reconstructable historical evidence."
run/sthelar40x_bps_9class_slide_all_e3,1840375,0.001714,2026-06-10T17:42:21+00:00,BPS multi-tissue 9-class exploratory,All parameters / early FullFT prototype,Breast;Pancreatic;Skin,19,NONE,log/2026-05-22T123046_sthelar40x_bps_9class_slide_all_e3/inference_results.json [495082 B],NO,NO,NO,NO,KEEP_USEFUL,NONE,"No checkpoint remains, but inference results preserve otherwise non-reconstructable historical evidence."
run/sthelar40x_bps_9class_slide_all_e3_seed42,1851868,0.001725,2026-06-10T17:42:19+00:00,BPS multi-tissue 9-class exploratory,All parameters / early FullFT prototype,Breast;Pancreatic;Skin,42,NONE,log/2026-05-25T101314_sthelar40x_bps_9class_slide_all_e3_seed42/inference_results.json [501913 B],NO,NO,NO,NO,KEEP_USEFUL,NONE,"No checkpoint remains, but inference results preserve otherwise non-reconstructable historical evidence."
run/sthelar40x_bps_9class_slide_freeze_clean_e3_seed42,424938,0.000396,2026-06-10T17:42:21+00:00,BPS multi-tissue 9-class exploratory,Frozen/raw-style baseline,Breast;Pancreatic;Skin,42,NONE,log/2026-05-28T230209_sthelar40x_bps_9class_slide_freeze_clean_e3_seed42/inference_results.json [303503 B],NO,NO,NO,NO,KEEP_USEFUL,NONE,"No checkpoint remains, but inference results preserve otherwise non-reconstructable historical evidence."
run/sthelar40x_bps_9class_slide_freeze_e3,429671,0.000400,2026-06-10T17:42:19+00:00,BPS multi-tissue 9-class exploratory,Frozen/raw-style baseline,Breast;Pancreatic;Skin,19,NONE,log/2026-05-22T145417_sthelar40x_bps_9class_slide_freeze_e3/inference_results.json [308235 B],NO,NO,NO,NO,KEEP_USEFUL,NONE,"No checkpoint remains, but inference results preserve otherwise non-reconstructable historical evidence."
run/sthelar40x_bps_9class_slide_frozen_encoder_decoder_conv_adapters_red16_lr5e-5_e10_seed42_CLEAN,2810933180,2.617886,2026-06-29T19:58:35+00:00,BPS multi-tissue 9-class exploratory,Unknown,Breast;Pancreatic;Skin,42,log/2026-06-22T110555_sthelar40x_bps_9class_slide_frozen_encoder_decoder_conv_adapters_red16_lr5e-5_e10_seed42_CLEAN/checkpoints/model_best.pth [2806188316 B],log/2026-06-22T110555_sthelar40x_bps_9class_slide_frozen_encoder_decoder_conv_adapters_red16_lr5e-5_e10_seed42_CLEAN/inference_results.json [3772967 B]; log/2026-06-22T110555_sthelar40x_bps_9class_slide_frozen_encoder_decoder_conv_adapters_red16_lr5e-5_e10_seed42_CLEAN/inference_results_qc_sweep_Jaccard.json [35366 B]; log/2026-06-22T110555_sthelar40x_bps_9class_slide_frozen_encoder_decoder_conv_adapters_red16_lr5e-5_e10_seed42_CLEAN/inference_results_qc_sweep_Jaccard_summary.csv [6246 B],NO,YES,NO,NO,KEEP_CRITICAL,NONE,Source run is referenced by an adapter manifest.
run/sthelar40x_bps_9class_slide_fullft_lr1e-5_e10_seed42_CLEAN_TRUE,8406795927,7.829439,2026-06-29T19:58:36+00:00,BPS multi-tissue 9-class exploratory,FullFT,Breast;Pancreatic;Skin,42,log/2026-06-21T160034_sthelar40x_bps_9class_slide_fullft_lr1e-5_e10_seed42_CLEAN_TRUE/checkpoints/model_best.pth [8397783809 B],log/2026-06-21T160034_sthelar40x_bps_9class_slide_fullft_lr1e-5_e10_seed42_CLEAN_TRUE/inference_results.json [3874339 B]; log/2026-06-21T160034_sthelar40x_bps_9class_slide_fullft_lr1e-5_e10_seed42_CLEAN_TRUE/inference_results_qc_sweep_Jaccard.json [36897 B]; log/2026-06-21T160034_sthelar40x_bps_9class_slide_fullft_lr1e-5_e10_seed42_CLEAN_TRUE/inference_results_qc_sweep_Jaccard_summary.csv [6609 B],NO,NO,NO,NO,KEEP_USEFUL,NONE,Non-canonical/exploratory checkpoint is costly to recreate and is not proven redundant; retain pending scientific owner review.
run/sthelar40x_bps_9class_slide_lora_adaptformer_r8_a8_red16_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN,2908133365,2.708410,2026-06-29T19:58:34+00:00,BPS multi-tissue 9-class exploratory,LoRA Q/V + AdaptFormer + decoder conv adapters,Breast;Pancreatic;Skin,42,log/2026-06-21T144406_sthelar40x_bps_9class_slide_lora_adaptformer_r8_a8_red16_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN/checkpoints/model_best.pth [2901461410 B],log/2026-06-21T144406_sthelar40x_bps_9class_slide_lora_adaptformer_r8_a8_red16_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN/inference_results.json [3814699 B]; log/2026-06-21T144406_sthelar40x_bps_9class_slide_lora_adaptformer_r8_a8_red16_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN/inference_results_qc_sweep_Jaccard.json [35571 B]; log/2026-06-21T144406_sthelar40x_bps_9class_slide_lora_adaptformer_r8_a8_red16_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN/inference_results_qc_sweep_Jaccard_summary.csv [6333 B],NO,YES,NO,NO,KEEP_CRITICAL,NONE,Source run is referenced by an adapter manifest.
