fold,backbone,method,seed,training_completed,inference_completed,gpu_model,pytorch_version,cuda_version,amp_mixed_precision,batch_size_training,batch_size_inference,train_patch_count,validation_patch_count,test_patch_count,trainable_parameters,total_parameters,trainable_percentage,training_time_seconds,training_time_hours,epoch_time_seconds,mean_seconds_per_epoch,training_peak_cuda_memory_allocated_bytes,training_peak_cuda_memory_reserved_bytes,training_peak_cuda_memory_allocated_gib,training_peak_cuda_memory_reserved_gib,checkpoint_size_bytes,checkpoint_size_gib,inference_time_seconds,inference_patch_count,patches_per_second,inference_peak_cuda_memory_allocated_bytes,inference_peak_cuda_memory_reserved_bytes,inference_peak_cuda_memory_allocated_gib,inference_peak_cuda_memory_reserved_gib,training_metrics_path,inference_metrics_path
A,CellViT-SAM-H x40,Frozen,42,,True,NVIDIA A100-SXM4-40GB,2.5.1+cu121,12.1,True,,16,24283,2052,23494,0,699741149,0.0,,,[],,,,,,,,2329.895088889025,23494,10.083715834262202,4180628992,4982833152,3.8935141563415527,4.640625,,run/sthelar40x_klt_5class_slideind_foldA_frozen_seed42/eval/inference_efficiency_metrics.json
A,CellViT-SAM-H x40,FullFT,42,True,True,NVIDIA A100-SXM4-40GB,2.5.1+cu121,12.1,True,4,16,24283,2052,23494,699736523,699736523,100.0,31844.095517179998,8.845582088105555,"[3244.219213259, 3175.729123799, 3175.498978917999, 3178.6334946379993, 3209.038615757001, 3154.6437719099995, 3132.800717430997, 3203.3455339680004, 3159.208112684999, 3210.8991653850026]",3184.4016727749995,16651228672,19744686080,15.507665157318115,18.388671875,8397780353,7.821042419411242,2463.243369414002,23494,9.537831418415287,8463584256,19744686080,7.882327079772949,18.388671875,run/sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed42/log/2026-08-19T110413_sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed42/efficiency_metrics.json,run/sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed42/log/2026-08-19T110413_sthelar40x_klt_5class_slideind_foldA_fullft_lr1e-5_e10_seed42/inference_efficiency_metrics.json
A,CellViT-SAM-H x40,LP,42,True,True,NVIDIA A100-SXM4-40GB,2.5.1+cu121,12.1,True,4,16,24283,2052,23494,650,699736523,9.289210704812674e-05,20278.850039371988,5.633013899825552,"[2191.1048951650155, 2064.0573855609982, 1977.9709632570157, 2007.2645018679905, 2001.5732374609797, 2017.0292319080036, 2007.321017640992, 2007.4247523590166, 1987.7294210249966, 2017.238018147007]",2027.8713424392015,4180326400,5098176512,3.8932323455810547,4.748046875,2799325178,2.6070747319608927,2437.9416065409896,23494,9.636818181766811,8396868608,9011462144,7.820193290710449,8.392578125,run/sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed42/log/2026-08-19T114405_sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed42/efficiency_metrics.json,run/sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed42/log/2026-08-19T114405_sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed42/inference_efficiency_metrics.json
A,CellViT-SAM-H x40,LP,43,True,True,NVIDIA A100-SXM4-40GB,2.5.1+cu121,12.1,True,4,16,24283,2052,23494,650,699736523,9.289210704812674e-05,20658.393595603993,5.738442665445554,"[2014.3988583139726, 2044.7647419139976, 2000.140661278041, 2282.0739133229945, 2158.5095013760147, 2047.8141265850281, 2059.5281090270146, 2035.579032898997, 2008.8726436669822, 2006.611267375003]",2065.8292855758045,4180326400,5098176512,3.8932323455810547,4.748046875,2799322874,2.6070725861936808,2479.6810310030123,23494,9.47460568769075,8396868608,9011462144,7.820193290710449,8.392578125,run/sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed43/log/2026-08-20T165926_sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed43/efficiency_metrics.json,run/sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed43/log/2026-08-20T165926_sthelar40x_klt_5class_slideind_foldA_lp_final_heads_e10_seed43/inference_efficiency_metrics.json
A,CellViT-SAM-H x40,NT-header1 PEFT,42,True,True,NVIDIA A100-SXM4-40GB,2.5.1+cu121,12.1,True,4,16,24283,2052,23494,7945835,707644395,1.1228570530824313,27060.087336126016,7.5166909267016715,"[2704.0618303379742, 2669.2484167309885, 2674.538141536992, 2644.0509932640125, 2647.6898317970044, 2717.7835370829853, 2716.6465879949974, 2672.0244340369827, 2649.8715514210053, 2963.9612080710067]",2705.9876532273947,10052420608,11874074624,9.362046241760254,11.05859375,2894896652,2.696082603186369,2569.747738395992,23494,9.14253163801389,7338429440,11874074624,6.834444999694824,11.05859375,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed42/log/2026-08-19T183125_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed42/efficiency_metrics.json,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed42/log/2026-08-19T183125_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_nt_header1_np_hv_heads_e10_seed42/inference_efficiency_metrics.json
A,CellViT-SAM-H x40,Selected PEFT,42,True,True,NVIDIA A100-SXM4-40GB,2.5.1+cu121,12.1,True,4,16,24283,2052,23494,7908779,707644395,1.1176205246421826,28094.345991228998,7.80398499756361,"[2781.0684333610116, 2897.082497588999, 2908.036016586004, 2882.551988566993, 2857.109426586976, 2872.7570687700063, 2889.346475029015, 2838.483548439981, 2589.9961078299966, 2577.702542207]",2809.4134104965983,10052122624,11874074624,9.36176872253418,11.05859375,2894602378,2.6958085391670465,2757.8582602789975,23494,8.51892946725378,7338429440,11874074624,6.834444999694824,11.05859375,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-19T105648_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/efficiency_metrics.json,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-19T105648_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_efficiency_metrics.json
A,CellViT-SAM-H x40,Selected PEFT,43,False,,NVIDIA A100-SXM4-40GB,2.5.1+cu121,12.1,True,4,,24283,2052,23494,7908779,707644395,1.1176205246421826,,,[],,,,,,,,,,,,,,,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed43/log/2026-08-20T204047_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed43/efficiency_metrics.json,
B,CellViT-SAM-H x40,Frozen,42,,True,NVIDIA A100-SXM4-40GB,2.5.1+cu121,12.1,True,,16,20893,2601,26335,0,699741149,0.0,,,[],,,,,,,,2917.5833691080043,26335,9.026305907430308,4180628992,4982833152,3.8935141563415527,4.640625,,run/sthelar40x_klt_5class_slideind_foldB_frozen_seed42/eval/inference_efficiency_metrics.json
B,CellViT-SAM-H x40,FullFT,42,True,True,NVIDIA A100-SXM4-40GB,2.5.1+cu121,12.1,True,4,16,20893,2601,26335,699736523,699736523,100.0,25652.690591441,7.12574738651139,"[2678.135997825011, 2537.545894626004, 2587.7481862549903, 2539.7177430279844, 2512.240674544999, 2580.6762781809957, 2544.340218456986, 2528.033331908984, 2590.005558882025, 2554.1720258409914]",2565.261590954897,16651228672,19830669312,15.507665157318115,18.46875,8397780353,7.821042419411242,3163.560666882986,26335,8.32448079016848,8463584256,19830669312,7.882327079772949,18.46875,run/sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed42/log/2026-08-19T181004_sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed42/efficiency_metrics.json,run/sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed42/log/2026-08-19T181004_sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed42/inference_efficiency_metrics.json
B,CellViT-SAM-H x40,LP,42,True,True,NVIDIA A100-SXM4-40GB,2.5.1+cu121,12.1,True,4,16,20893,2601,26335,650,699736523,9.289210704812674e-05,18164.480058168992,5.0456889050469425,"[1801.679224152991, 1793.7717095520056, 1756.8705697100086, 1782.2653748030134, 1809.6628467379778, 1783.2859457659943, 1877.2893959679932, 1849.2741309980047, 1808.1033807899803, 1902.2376340959745]",1816.4440212573943,4180326400,5098176512,3.8932323455810547,4.748046875,2799322874,2.6070725861936808,2989.4118009770173,26335,8.809425316175256,8396868608,9011462144,7.820193290710449,8.392578125,run/sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed42/log/2026-08-19T123449_sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed42/efficiency_metrics.json,run/sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed42/log/2026-08-19T123449_sthelar40x_klt_5class_slideind_foldB_lp_final_heads_e10_seed42/inference_efficiency_metrics.json
