record_type,tissue,fold,model,seed,split,epoch,true_class,predicted_class,count,frequency,metric,value,train_patches,val_patches,test_patches_raw,matched_test_patches,source_path,note
dataset_summary,Kidney,A,Generalist Selected PEFT,42,,,,,,,,,24283,2052,23494,4449,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-19T105648_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,Test metrics and test class counts use exact generalist/specialist patch-ID intersection
class_distribution,Kidney,A,Generalist Selected PEFT,42,train,,Immune,,798175,0.551180531434,,,24283,2052,23494,4449,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-19T105648_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,Patch-level nucleus annotation occurrences; overlapping patches may repeat a biological cell
class_distribution,Kidney,A,Generalist Selected PEFT,42,train,,Stromal,,270672,0.186912815867,,,24283,2052,23494,4449,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-19T105648_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,Patch-level nucleus annotation occurrences; overlapping patches may repeat a biological cell
class_distribution,Kidney,A,Generalist Selected PEFT,42,train,,Epithelial,,356338,0.246069556438,,,24283,2052,23494,4449,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-19T105648_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,Patch-level nucleus annotation occurrences; overlapping patches may repeat a biological cell
class_distribution,Kidney,A,Generalist Selected PEFT,42,train,,Melanocyte,,0,0,,,24283,2052,23494,4449,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-19T105648_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,Patch-level nucleus annotation occurrences; overlapping patches may repeat a biological cell
class_distribution,Kidney,A,Generalist Selected PEFT,42,train,,Other,,22934,0.0158370962607,,,24283,2052,23494,4449,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-19T105648_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,Patch-level nucleus annotation occurrences; overlapping patches may repeat a biological cell
class_distribution,Kidney,A,Generalist Selected PEFT,42,validation,,Immune,,80971,0.599474346635,,,24283,2052,23494,4449,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-19T105648_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,Patch-level nucleus annotation occurrences; overlapping patches may repeat a biological cell
class_distribution,Kidney,A,Generalist Selected PEFT,42,validation,,Stromal,,26407,0.195506033908,,,24283,2052,23494,4449,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-19T105648_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,Patch-level nucleus annotation occurrences; overlapping patches may repeat a biological cell
class_distribution,Kidney,A,Generalist Selected PEFT,42,validation,,Epithelial,,26653,0.197327311764,,,24283,2052,23494,4449,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-19T105648_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,Patch-level nucleus annotation occurrences; overlapping patches may repeat a biological cell
class_distribution,Kidney,A,Generalist Selected PEFT,42,validation,,Melanocyte,,0,0,,,24283,2052,23494,4449,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-19T105648_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,Patch-level nucleus annotation occurrences; overlapping patches may repeat a biological cell
