run_label,cohort,run_key,matching,num_test_slides_or_regions,slide_ids_available,missing_slide_id_rows,dominant_patch_slide_or_region,dominant_patch_fraction,dominant_matched_slide_or_region,dominant_matched_fraction,slide_dominated,slide_summary_csv,run_dir,mPQ_min,mPQ_mean,mPQ_max,mPQ_std,mPQ_cv,bPQ_min,bPQ_mean,bPQ_max,F1_detection_min,F1_detection_mean,F1_detection_max,type_accuracy_min,type_accuracy_mean,type_accuracy_max,type_accuracy_std,type_accuracy_cv,type_macro_f1_min,type_macro_f1_mean,type_macro_f1_max,notes
KLT Frozen CellViT seed42,KLT,klt_frozen_cellvit_seed42,cellvit-detection,6,True,0,tonsil_s1,0.2303889963464431,tonsil_s0,0.4529203940544326,False,reports/type_assignment/klt_frozen_cellvit_seed42/slide_summary.csv,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_freeze_e10_seed42_CLEAN/log/2026-06-24T195646_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_freeze_e10_seed42_CLEAN,0.0003424722863731,0.0022319242768750664,0.0080635996500249,0.0026683233070131816,1.1955259121734725,0.3052399127573284,0.440092773621149,0.5356100050514433,0.768613671020354,0.8118577357093054,0.8534746199944437,0.0018822130863341,0.014735556136624401,0.0593461571638057,0.020096922164224852,1.3638387297969077,0.0007516194432082,0.006426887662508817,0.0238001027297105,
KLT FullFT seed42,KLT,klt_fullft_seed42,cellvit-detection,6,True,0,tonsil_s1,0.2303889963464431,tonsil_s0,0.4375504645167566,False,reports/type_assignment/klt_fullft_seed42/slide_summary.csv,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_fullft_lr1e-5_e10_seed42_CLEAN/log/2026-06-24T195748_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_fullft_lr1e-5_e10_seed42_CLEAN,0.1791168330429052,0.3049291768078363,0.4053954119575607,0.07902897768500902,0.25917158375045357,0.3209351691055833,0.5113106746417466,0.605208791789967,0.7752738229011027,0.8454655613015817,0.906210392902408,0.6301329683222526,0.7635967381639769,0.8553607103218646,0.07464292600533774,0.09775176120423489,0.3347718257059741,0.46876727433535686,0.5195806702809384,
KLT FullFT seed43,KLT,klt_fullft_seed43,cellvit-detection,6,True,0,tonsil_s1,0.2303889963464431,tonsil_s0,0.4389830342832571,False,reports/type_assignment/klt_fullft_seed43/slide_summary.csv,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_fullft_lr1e-5_e10_seed43_KEEPALL_FISHER/log/2026-06-26T002217_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_fullft_lr1e-5_e10_seed43_KEEPALL_FISHER,0.1885692598248042,0.30997425121509514,0.4277402320676755,0.08549686603169081,0.27581925174927974,0.3366496580696337,0.5241412953046226,0.6300395752908711,0.7774355892736423,0.8473786069806771,0.9062651772705196,0.6301598195901559,0.7618831177030012,0.8596693921080697,0.07691691147381309,0.10095631427785094,0.3338075638706501,0.46595117454864976,0.5172688408709952,
KLT LoRA+AF heads_only seed42,KLT,klt_lora_af_heads_only_seed42,cellvit-detection,6,True,0,tonsil_s1,0.2303889963464431,tonsil_s0,0.4415030764723117,False,reports/type_assignment/klt_lora_af_heads_only_seed42/slide_summary.csv,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN/log/2026-06-25T113302_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN,0.1829186167080825,0.29704098704859444,0.3893365790935021,0.07195727314585615,0.24224695002809257,0.3268837202917192,0.5106356843116813,0.6016664763897398,0.7767187054688243,0.8508662407087325,0.909546524968299,0.6413653065171147,0.77097321099581,0.8437541601952518,0.06486856249360815,0.08413854277741005,0.3055730846562816,0.4138236777452598,0.4448656558243001,
KLT LoRA+AF heads_only seed43,KLT,klt_lora_af_heads_only_seed43,cellvit-detection,6,True,0,tonsil_s1,0.2303889963464431,tonsil_s0,0.4418323468900221,False,reports/type_assignment/klt_lora_af_heads_only_seed43/slide_summary.csv,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed43_CLEAN/log/2026-06-26T002217_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed43_CLEAN,0.174926143094867,0.2889523688395056,0.3806332425241028,0.07424129157288747,0.2569326282773052,0.3087982246227622,0.5035642233261743,0.5935806802878795,0.7758972603608058,0.8518941615086469,0.9088725416604112,0.6256772445820433,0.76435435157327,0.8435293079096046,0.07016470702532777,0.09179604574881768,0.3014541941020071,0.4153713709149536,0.4686720201188225,
KLT LoRA+AF last_stage seed42,KLT,klt_lora_af_last_stage_seed42,cellvit-detection,6,True,0,tonsil_s1,0.2303889963464431,tonsil_s0,0.4451935527079519,False,reports/type_assignment/klt_lora_af_last_stage_seed42/slide_summary.csv,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_last_stage_lr5e-5_e10_seed42_CLEAN/log/2026-06-25T185008_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_last_stage_lr5e-5_e10_seed42_CLEAN,0.1794673558059056,0.2977711120980822,0.3951929106239578,0.07450676183528379,0.25021487581623486,0.325141296389954,0.5110663538126995,0.6002095178507946,0.7678313003928054,0.8459018087925857,0.9068315451294174,0.6348458063248871,0.760424864067776,0.8454214757264112,0.06836390438265622,0.08990224756322934,0.3279346295405637,0.4594650413727413,0.5253310858884911,
KLT LoRA+AF last_stage seed43,KLT,klt_lora_af_last_stage_seed43,cellvit-detection,6,True,0,tonsil_s1,0.2303889963464431,tonsil_s0,0.4458880270485282,False,reports/type_assignment/klt_lora_af_last_stage_seed43/slide_summary.csv,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_last_stage_lr5e-5_e10_seed43_CLEAN/log/2026-06-27T201436_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_last_stage_lr5e-5_e10_seed43_CLEAN,0.1734460851207123,0.29091907506006126,0.3908290851942617,0.0806754208661561,0.2773122417273614,0.3039483860791703,0.5007743251276106,0.5958063359649918,0.7617095034213351,0.8428291524655119,0.9075742409075742,0.6226452312851366,0.7516871160338053,0.8481610116662214,0.074326693467837,0.09887982896396263,0.3356444542618636,0.45128698862223954,0.5189603414032098,
KLT LoRA+AF conv_adapters seed42,KLT,klt_lora_af_conv_adapters_seed42,cellvit-detection,6,True,0,tonsil_s1,0.2303889963464431,tonsil_s0,0.4432598642133228,False,reports/type_assignment/klt_lora_af_conv_adapters_seed42/slide_summary.csv,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN/log/2026-06-25T102125_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN,0.1597241370257345,0.2861900879662803,0.3831991353161448,0.07709846517720405,0.2693960008366467,0.2938952139197386,0.49341164025419104,0.5818569665741209,0.7713655320180082,0.8462803561596598,0.9081632653061223,0.6301719901719902,0.7511566237289883,0.8409323884654811,0.07180417514210861,0.0955914823537721,0.3285089595197554,0.45051827770493896,0.508503471008254,
KLT LoRA+AF conv_adapters seed43,KLT,klt_lora_af_conv_adapters_seed43,cellvit-detection,6,True,0,tonsil_s1,0.2303889963464431,tonsil_s0,0.4408698548935461,False,reports/type_assignment/klt_lora_af_conv_adapters_seed43/slide_summary.csv,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_conv_adapters_lr5e-5_e10_seed43_CLEAN/log/2026-06-26T002217_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_conv_adapters_lr5e-5_e10_seed43_CLEAN,0.173513237979531,0.2891719331308511,0.3910584567394384,0.07667843630680736,0.2651655555800782,0.3135464423000352,0.500549693035696,0.5972384288167795,0.774873545776429,0.8458991140762565,0.9070138951683396,0.6304411620854935,0.7536778968064985,0.846198259015811,0.07365221009393852,0.09772372309977428,0.3333291304358962,0.4466443437140042,0.5139369963680803,
KLT VeRA+AF conv_adapters seed42,KLT,klt_vera_af_conv_adapters_seed42,cellvit-detection,6,True,0,tonsil_s1,0.2303889963464431,tonsil_s0,0.4411035550503664,False,reports/type_assignment/klt_vera_af_conv_adapters_seed42/slide_summary.csv,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_vera_adaptformer_r16_a16_red16_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN/log/2026-06-25T102125_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_vera_adaptformer_r16_a16_red16_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN,0.1630890430435009,0.2826687863684507,0.376721605662907,0.07638766116228403,0.2702373408244478,0.3000674503610026,0.4953150427351423,0.582851398825122,0.780074533847098,0.8480420373743297,0.9056821284470468,0.6286948836295787,0.747877663644084,0.8446067013080093,0.07220533879637653,0.09654699198335617,0.3301506258109573,0.4406433032268298,0.5088066487636759,
