label,cohort,matching,num_images,detection_records,saved_f1_detection,saved_precision_detection,saved_recall_detection,saved_bPQ,saved_mPQ,detection_f1_from_stats,detection_precision_from_stats,detection_recall_from_stats,type_accuracy,macro_f1,weighted_f1,matched_nuclei,unmatched_true_nuclei,unmatched_pred_nuclei,num_slides_or_regions,dominant_slide_or_region,dominant_patch_fraction,dominant_matched_fraction,epithelial_precision,epithelial_recall,epithelial_f1,immune_precision,immune_recall,immune_f1,stromal_precision,stromal_recall,stromal_f1,melanocyte_precision,melanocyte_recall,melanocyte_f1,other_precision,other_recall,other_f1,run_dir,inference_results,confusion_csv,confusion_png,slide_summary_csv
KLT Frozen CellViT seed42,KLT,cellvit-detection,4653,4653,0.8167317743326016,0.9242380007006891,0.731629528340042,0.4467633265841671,0.0026223782609994173,0.817043555322293,0.9250683123322634,0.7316098861307571,0.02208789878003191,0.009587563723105375,0.00650131757646719,189923,69673,15384,6,tonsil_s0,0.18783580485708146,0.4529203940544326,0.0,0.0,0.0,0.7230971128608924,0.005112123433194474,0.010152471325256806,0.0,0.0,0.0,0.0,0.0,0.0,0.01926401319510893,0.9800968262506724,0.03778534729027007,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_freeze_e10_seed42_CLEAN/log/2026-06-24T195646_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_freeze_e10_seed42_CLEAN,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_freeze_e10_seed42_CLEAN/log/2026-06-24T195646_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_freeze_e10_seed42_CLEAN/inference_results.json,reports/type_assignment/klt_frozen_cellvit_seed42/confusion_matrix.csv,reports/type_assignment/klt_frozen_cellvit_seed42/confusion_matrix.png,reports/type_assignment/klt_frozen_cellvit_seed42/slide_summary.csv
KLT FullFT seed42,KLT,cellvit-detection,4653,4653,0.8270826672457858,0.8652247446275011,0.7921614698688443,0.508390420072397,0.30580418764914036,0.8272224133456457,0.8655874365829527,0.7921139220022655,0.780500024320249,0.534470242944386,0.778264547234074,205590,53956,31925,6,tonsil_s0,0.18783580485708146,0.43755046451675667,0.8991366939249675,0.8576425855513308,0.877899606342993,0.8100461133069828,0.8674856039294879,0.8377824807634167,0.6476558883819348,0.4733586255225576,0.5469572379901995,0.0,0.0,0.0,0.30280915725282415,0.6332845494459545,0.40971188962532124,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_fullft_lr1e-5_e10_seed42_CLEAN/log/2026-06-24T195748_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_fullft_lr1e-5_e10_seed42_CLEAN,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_fullft_lr1e-5_e10_seed42_CLEAN/log/2026-06-24T195748_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_fullft_lr1e-5_e10_seed42_CLEAN/inference_results.json,reports/type_assignment/klt_fullft_seed42/confusion_matrix.csv,reports/type_assignment/klt_fullft_seed42/confusion_matrix.png,reports/type_assignment/klt_fullft_seed42/slide_summary.csv
KLT FullFT seed43,KLT,cellvit-detection,4653,4653,0.8301261845639284,0.876132814171409,0.7887102054966008,0.5210799993899882,0.3126288108483056,0.8302874287209635,0.8766020149407169,0.7886212384538017,0.7823286814432586,0.5313093730488677,0.7784281067305786,204648,54853,28808,6,tonsil_s0,0.18783580485708146,0.4389830342832571,0.885208932124696,0.8774682767538189,0.8813216082061215,0.8130254520327076,0.8719584281756745,0.8414613380557495,0.6691950806392223,0.4416739574219889,0.5321348051415687,0.0,0.0,0.0,0.2857543466068424,0.6755801104972375,0.40162911384089867,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_fullft_lr1e-5_e10_seed43_KEEPALL_FISHER/log/2026-06-26T002217_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_fullft_lr1e-5_e10_seed43_KEEPALL_FISHER,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_fullft_lr1e-5_e10_seed43_KEEPALL_FISHER/log/2026-06-26T002217_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_fullft_lr1e-5_e10_seed43_KEEPALL_FISHER/inference_results.json,reports/type_assignment/klt_fullft_seed43/confusion_matrix.csv,reports/type_assignment/klt_fullft_seed43/confusion_matrix.png,reports/type_assignment/klt_fullft_seed43/slide_summary.csv
KLT LoRA+AF heads_only seed42,KLT,cellvit-detection,4653,4653,0.8335849532638021,0.8834633647737712,0.7890376133890569,0.5075766593394999,0.29694765844463905,0.8337778139695853,0.8839640681858405,0.7889839683450909,0.787049516554351,0.4489941474073338,0.7700126102098566,204780,54769,26881,6,tonsil_s0,0.18783580485708146,0.44150307647231174,0.8782578578231881,0.8764744005184705,0.8773652228445386,0.7891888967047238,0.9003801007134605,0.8411257301510146,0.6333789798014379,0.44733787900768895,0.524345312322866,0.0,0.0,0.0,0.5714285714285714,0.0010692328254477412,0.002134471718249733,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN/log/2026-06-25T113302_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN/log/2026-06-25T113302_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed42_CLEAN/inference_results.json,reports/type_assignment/klt_lora_af_heads_only_seed42/confusion_matrix.csv,reports/type_assignment/klt_lora_af_heads_only_seed42/confusion_matrix.png,reports/type_assignment/klt_lora_af_heads_only_seed42/slide_summary.csv
KLT LoRA+AF heads_only seed43,KLT,cellvit-detection,4653,4653,0.8354978619301449,0.8857955428196586,0.790605319415288,0.5009487557563967,0.2903461622208772,0.8357383107503815,0.886477282058596,0.790493147728499,0.7798638805737297,0.4762639157977821,0.771341716599021,205114,54362,26267,6,tonsil_s0,0.18783580485708146,0.44183234689002215,0.8647111451942741,0.8754906612604063,0.8700675168792199,0.808410788760188,0.8591216692513746,0.832995151541041,0.584750812567714,0.5196909152183332,0.5503046060513369,0.0,0.0,0.0,0.43390357698289267,0.0750403442711135,0.12795230451731257,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed43_CLEAN/log/2026-06-26T002217_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed43_CLEAN,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed43_CLEAN/log/2026-06-26T002217_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_heads_only_lr5e-5_e10_seed43_CLEAN/inference_results.json,reports/type_assignment/klt_lora_af_heads_only_seed43/confusion_matrix.csv,reports/type_assignment/klt_lora_af_heads_only_seed43/confusion_matrix.png,reports/type_assignment/klt_lora_af_heads_only_seed43/slide_summary.csv
KLT LoRA+AF last_stage seed42,KLT,cellvit-detection,4653,4653,0.8278681298856254,0.8849181305003331,0.777728559597866,0.5064225891212908,0.2978450524652873,0.8281740137924234,0.8859806429494449,0.7774486549030951,0.7775247677020236,0.5256159350311183,0.7759221398763089,201573,57702,25941,6,tonsil_s0,0.18783580485708146,0.44519355270795197,0.90276964858474,0.846245007242242,0.8735939464651843,0.8116288331342095,0.8538370341317312,0.8321980886185926,0.5694504778453519,0.5190427874978346,0.5430794526223119,0.0,0.0,0.0,0.3510346546995762,0.412298682284041,0.3792081874495018,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_last_stage_lr5e-5_e10_seed42_CLEAN/log/2026-06-25T185008_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_last_stage_lr5e-5_e10_seed42_CLEAN,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_last_stage_lr5e-5_e10_seed42_CLEAN/log/2026-06-25T185008_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_last_stage_lr5e-5_e10_seed42_CLEAN/inference_results.json,reports/type_assignment/klt_lora_af_last_stage_seed42/confusion_matrix.csv,reports/type_assignment/klt_lora_af_last_stage_seed42/confusion_matrix.png,reports/type_assignment/klt_lora_af_last_stage_seed42/slide_summary.csv
KLT LoRA+AF last_stage seed43,KLT,cellvit-detection,4653,4653,0.8239914374765932,0.8790181027481596,0.775448259923348,0.4988082349352446,0.2940599835405204,0.8241525206683536,0.8796053322137084,0.775276870829591,0.7768347255369928,0.5209219464567678,0.7778881454588564,201120,58297,27528,6,tonsil_s0,0.18783580485708146,0.44588802704852826,0.889625919407969,0.8657371830058184,0.877519000300444,0.8219346405228758,0.8437281949439107,0.83268884415722,0.5973457738112485,0.509855810847575,0.5501441076003416,0.0,0.0,0.0,0.2487727212418734,0.5587008343265792,0.3442577802258331,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_last_stage_lr5e-5_e10_seed43_CLEAN/log/2026-06-27T201436_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_last_stage_lr5e-5_e10_seed43_CLEAN,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_last_stage_lr5e-5_e10_seed43_CLEAN/log/2026-06-27T201436_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_last_stage_lr5e-5_e10_seed43_CLEAN/inference_results.json,reports/type_assignment/klt_lora_af_last_stage_seed43/confusion_matrix.csv,reports/type_assignment/klt_lora_af_last_stage_seed43/confusion_matrix.png,reports/type_assignment/klt_lora_af_last_stage_seed43/slide_summary.csv
KLT LoRA+AF conv_adapters seed42,KLT,cellvit-detection,4653,4653,0.8289710216410335,0.8802607487436533,0.7833291604876451,0.48898702297677266,0.28635162198573266,0.829131789775972,0.8807293336684201,0.7832453470001156,0.7679966545311424,0.5196369597004369,0.7712185493876524,203260,56250,27526,6,tonsil_s0,0.18783580485708146,0.44325986421332286,0.9047393252566444,0.8340108401084011,0.8679365440382101,0.8184152095475993,0.8352142471476495,0.8267293985710092,0.5685087255420412,0.5266625842008573,0.5467861911119588,0.0,0.0,0.0,0.2612680477087257,0.5621285791464073,0.3567326647810063,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN/log/2026-06-25T102125_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN/log/2026-06-25T102125_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN/inference_results.json,reports/type_assignment/klt_lora_af_conv_adapters_seed42/confusion_matrix.csv,reports/type_assignment/klt_lora_af_conv_adapters_seed42/confusion_matrix.png,reports/type_assignment/klt_lora_af_conv_adapters_seed42/slide_summary.csv
KLT LoRA+AF conv_adapters seed43,KLT,cellvit-detection,4653,4653,0.8295621408972466,0.8774220434958196,0.7866533135604645,0.49717423769798974,0.29042694041347034,0.8297619362168732,0.8779688427427332,0.786573312319614,0.7772601236491187,0.5226680357692226,0.7730033793235728,204126,55387,28372,6,tonsil_s0,0.18783580485708146,0.44086985489354613,0.8445308162132149,0.8957206421217938,0.869372849960307,0.8195118610404842,0.8463565151274026,0.8327178938486498,0.606156631960163,0.48850784385260854,0.541010101010101,0.0,0.0,0.0,0.3203673689897353,0.4385013556815381,0.37023933402705517,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_conv_adapters_lr5e-5_e10_seed43_CLEAN/log/2026-06-26T002217_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_conv_adapters_lr5e-5_e10_seed43_CLEAN,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_conv_adapters_lr5e-5_e10_seed43_CLEAN/log/2026-06-26T002217_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_lora_adaptformer_r8_a8_red16_decoder_conv_adapters_lr5e-5_e10_seed43_CLEAN/inference_results.json,reports/type_assignment/klt_lora_af_conv_adapters_seed43/confusion_matrix.csv,reports/type_assignment/klt_lora_af_conv_adapters_seed43/confusion_matrix.png,reports/type_assignment/klt_lora_af_conv_adapters_seed43/slide_summary.csv
KLT VeRA+AF conv_adapters seed42,KLT,cellvit-detection,4653,4653,0.8327948122583025,0.884525778820921,0.7867804248598886,0.4918089423945996,0.2839684680221378,0.8329840528103988,0.8851112546997576,0.786655258269161,0.7737525967154,0.5148474729533545,0.7701456458852557,204104,55354,26493,6,tonsil_s0,0.18783580485708146,0.44110355505036647,0.8921527969772372,0.8486302870918255,0.8698474739986971,0.8062362441806237,0.8695640663607483,0.8367035887594942,0.6024898949070332,0.4532340849935537,0.5173112696782076,0.0,0.0,0.0,0.268996558114906,0.5023485784919653,0.35037503233037337,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_vera_adaptformer_r16_a16_red16_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN/log/2026-06-25T102125_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_vera_adaptformer_r16_a16_red16_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN,run/sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_vera_adaptformer_r16_a16_red16_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN/log/2026-06-25T102125_sthelar40x_kidney_liver_tonsil_5class_spatial_margin128_vera_adaptformer_r16_a16_red16_decoder_conv_adapters_lr5e-5_e10_seed42_CLEAN/inference_results.json,reports/type_assignment/klt_vera_af_conv_adapters_seed42/confusion_matrix.csv,reports/type_assignment/klt_vera_af_conv_adapters_seed42/confusion_matrix.png,reports/type_assignment/klt_vera_af_conv_adapters_seed42/slide_summary.csv
