record_type,scope,backbone,method,tissue,fold,split,slide_id,seed,class_name,true_class,predicted_class,count,patch_count,annotated_cell_count,nuclei_per_patch,class_entropy_bits,immune_count,immune_frequency,stromal_count,stromal_frequency,epithelial_count,epithelial_frequency,melanocyte_count,melanocyte_frequency,other_count,other_frequency,total_variation,jensen_shannon_bits,rare_or_absent_train_present_test,Dice,Jaccard,bPQ,mPQ,F1det,F1type,Dice_mean,Dice_sd,Jaccard_mean,Jaccard_sd,bPQ_mean,bPQ_sd,mPQ_mean,mPQ_sd,F1det_mean,F1det_sd,F1type_mean,F1type_sd,Dice_difference_B_minus_A,Jaccard_difference_B_minus_A,bPQ_difference_B_minus_A,mPQ_difference_B_minus_A,F1det_difference_B_minus_A,F1type_difference_B_minus_A,class_f1,class_f1_mean,class_f1_sd,matched_support,total_true_support,predicted_count,predicted_frequency,bPQ_rank,mPQ_rank,F1det_rank,F1type_rank,strong_detection_weak_typing,dominant_confusion,dominant_confusion_count,checkpoint_policy,source_path,note
slide_composition,KLT,,,Kidney,A,train,kidney_s0,,,,,,6321,188119,29.760955545008702,1.5362622044053262,18889,0.10040984695857409,52774,0.28053519314901737,106511,0.5661894864420925,0,0.0,9945,0.052865473450316024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldA_margin128/cell_count_train.csv,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,KLT,,,Liver,A,train,liver_s0,,,,,,8980,215196,23.96391982182628,1.4837406235501787,47576,0.22108217624862916,43173,0.20062175876875035,122007,0.5669575642669938,0,0.0,2440,0.011338500715626684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldA_margin128/cell_count_train.csv,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,KLT,,,Tonsil,A,train,tonsil_s0,,,,,,8982,1044804,116.32197728790915,1.229119430153641,731710,0.7003323111320401,174725,0.16723232300029478,127820,0.12233873530346362,0,0.0,10549,0.010096630564201516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldA_margin128/cell_count_train.csv,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,KLT,,,Pooled KLT,A,train,kidney_s0+liver_s0+tonsil_s0,,,,,,24283,1448119,59.63509451056294,1.5184128061096747,798175,0.5511805314342261,270672,0.18691281586665184,356338,0.24606955643838663,0,0.0,22934,0.015837096260735477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldA_margin128/cell_count_train.csv,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,KLT,,,Kidney,A,test,kidney_s1,,,,,,4449,106428,23.921780175320297,1.5185668470005165,59273,0.5569305070094336,27084,0.254481903258541,17944,0.16860224752884578,0,0.0,2127,0.019985342203179615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldA_margin128/cell_count_test.csv,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,KLT,,,Liver,A,test,liver_s1,,,,,,9166,320945,35.014728343879554,1.4589360167082268,67212,0.20941905934038543,73797,0.2299365934973282,178802,0.5571110314851454,0,0.0,1134,0.003533315677140943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldA_margin128/cell_count_test.csv,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,KLT,,,Tonsil,A,test,tonsil_s1,,,,,,9879,814336,82.43101528494788,1.4192637885156398,527728,0.6480469977994341,163296,0.2005265639735932,84208,0.10340694750078591,0,0.0,39104,0.048019490726186734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldA_margin128/cell_count_test.csv,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,KLT,,,Pooled KLT,A,test,kidney_s1+liver_s1+tonsil_s1,,,,,,23494,1241709,52.85217502341023,1.6134688888241118,654213,0.5268649901063776,264177,0.2127527464164309,280954,0.2262639636178847,0,0.0,42365,0.03411829985930681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldA_margin128/cell_count_test.csv,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,KLT,,,Kidney,B,train,kidney_s1,,,,,,3912,92755,23.710378323108383,1.4884526701549998,52988,0.5712683952347583,24057,0.259360681364886,13873,0.14956606112878013,0,0.0,1837,0.019804862271575657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldB_margin128/cell_count_train.csv,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,KLT,,,Liver,B,train,liver_s1,,,,,,8174,293190,35.868607780768286,1.4731348671796578,63296,0.21588730857123367,68778,0.23458508134656708,160100,0.5460622804324841,0,0.0,1016,0.003465329649715202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldB_margin128/cell_count_train.csv,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,KLT,,,Tonsil,B,train,tonsil_s1,,,,,,8807,727313,82.58351311456796,1.394091048260668,477277,0.6562195368431473,143549,0.19736894569463215,75494,0.103798502157943,0,0.0,30993,0.042613015304277524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldB_margin128/cell_count_train.csv,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,KLT,,,Pooled KLT,B,train,kidney_s1+liver_s1+tonsil_s1,,,,,,20893,1113258,53.28377925621022,1.5952230000151273,593561,0.5331746998449596,236384,0.21233532568371394,249467,0.22408731848322672,0,0.0,33846,0.030402655988099794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldB_margin128/cell_count_train.csv,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,KLT,,,Kidney,B,test,kidney_s0,,,,,,6723,194502,28.930834448906737,1.5457742449941771,20030,0.10298094621135001,55988,0.28785308120224984,108430,0.5574749874037285,0,0.0,10054,0.051690985182671643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldB_margin128/cell_count_test.csv,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,KLT,,,Liver,B,test,liver_s0,,,,,,9756,232970,23.879663796637967,1.48457365951712,51384,0.2205605872000687,47080,0.20208610550714684,131891,0.5661286860969224,0,0.0,2615,0.011224621195862127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldB_margin128/cell_count_test.csv,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,KLT,,,Tonsil,B,test,tonsil_s0,,,,,,9856,1155717,117.26024756493507,1.2312794472192277,807732,0.6989012015917392,194011,0.16787068114425938,142670,0.12344717608203393,0,0.0,11304,0.009780941181967557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldB_margin128/cell_count_test.csv,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
slide_composition,KLT,,,Pooled KLT,B,test,kidney_s0+liver_s0+tonsil_s0,,,,,,26335,1583189,60.117296373647235,1.5110623352067898,879146,0.5553007253082228,297079,0.18764594751479452,382991,0.2419111047386004,0,0.0,23973,0.015142222438382277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldB_margin128/cell_count_test.csv,Counts are patch-level annotation occurrences; overlapping patches can repeat a biological cell.
distribution_shift,KLT,,,Kidney,A,train_to_test,,,,,,,,,,,,,,,,,,,,,0.4565206600508595,0.21389982677287525,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldA_margin128/cell_count_train.csv; ${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldA_margin128/cell_count_test.csv,Descriptive distribution distances; no significance test.
distribution_shift,KLT,,,Liver,A,train_to_test,,,,,,,,,,,,,,,,,,,,,0.02931483472857788,0.002419621421520204,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldA_margin128/cell_count_train.csv; ${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldA_margin128/cell_count_test.csv,Descriptive distribution distances; no significance test.
distribution_shift,KLT,,,Tonsil,A,train_to_test,,,,,,,,,,,,,,,,,,,,,0.07121710113528368,0.012093791968379364,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldA_margin128/cell_count_train.csv; ${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldA_margin128/cell_count_test.csv,Descriptive distribution distances; no significance test.
distribution_shift,KLT,,,Pooled KLT,A,train_to_test,,,,,,,,,,,,,,,,,,,,,0.04412113414835042,0.003570305196386966,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldA_margin128/cell_count_train.csv; ${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldA_margin128/cell_count_test.csv,Descriptive distribution distances; no significance test.
distribution_shift,KLT,,,Kidney,B,train_to_test,,,,,,,,,,,,,,,,,,,,,0.4682874490234082,0.22544497415600495,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldB_margin128/cell_count_train.csv; ${DATA_ROOT}/sthelar40x_klt_5class_slideind_foldB_margin128/cell_count_test.csv,Descriptive distribution distances; no significance test.
